FromStratumID,FromSecondaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToAgeMin,ToStockTypeID,StateAttributeTypeID,FlowTypeID,Multiplier
NA,NA,Forest: Pinyon/Juniper Group,10,Atmosphere,10,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2373
NA,NA,Forest: Pinyon/Juniper Group,10,Atmosphere,10,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.2044
NA,NA,Forest: Pinyon/Juniper Group,10,Atmosphere,10,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0186
NA,NA,Forest: Pinyon/Juniper Group,10,Atmosphere,10,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4613
NA,NA,Forest: Pinyon/Juniper Group,11,Atmosphere,11,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0774
NA,NA,Forest: Pinyon/Juniper Group,11,Atmosphere,11,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2463
NA,NA,Forest: Pinyon/Juniper Group,11,Atmosphere,11,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1978
NA,NA,Forest: Pinyon/Juniper Group,11,Atmosphere,11,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0205
NA,NA,Forest: Pinyon/Juniper Group,11,Atmosphere,11,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.458
NA,NA,Forest: Pinyon/Juniper Group,12,Atmosphere,12,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0764
NA,NA,Forest: Pinyon/Juniper Group,12,Atmosphere,12,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2546
NA,NA,Forest: Pinyon/Juniper Group,12,Atmosphere,12,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1921
NA,NA,Forest: Pinyon/Juniper Group,12,Atmosphere,12,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0223
NA,NA,Forest: Pinyon/Juniper Group,12,Atmosphere,12,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4546
NA,NA,Forest: Pinyon/Juniper Group,13,Atmosphere,13,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0754
NA,NA,Forest: Pinyon/Juniper Group,13,Atmosphere,13,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2622
NA,NA,Forest: Pinyon/Juniper Group,13,Atmosphere,13,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1873
NA,NA,Forest: Pinyon/Juniper Group,13,Atmosphere,13,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0242
NA,NA,Forest: Pinyon/Juniper Group,13,Atmosphere,13,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4509
NA,NA,Forest: Pinyon/Juniper Group,14,Atmosphere,14,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0746
NA,NA,Forest: Pinyon/Juniper Group,14,Atmosphere,14,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2692
