FromStockTypeID,ToStockTypeID,TransitionGroupID,FlowTypeID,Multiplier
Biomass: Coarse Root,DOM: Belowground Fast,Management: Salvage Logging [Type],LULC: Mortality,0.5
Biomass: Fine Root,DOM: Aboveground Very Fast,Management: Salvage Logging [Type],LULC: Mortality,0.5
Biomass: Fine Root,DOM: Belowground Very Fast,Management: Salvage Logging [Type],LULC: Mortality,0.5
DOM: Snag Stem,DOM: Aboveground Medium,Management: Salvage Logging [Type],LULC: Transfer,0.28
DOM: Snag Stem,Forestry Sector,Management: Salvage Logging [Type],LULC: Harvest,0.72
DOM: Snag Branch,DOM: Aboveground Fast,Management: Salvage Logging [Type],LULC: Transfer,1
Biomass: Merchantable,DOM: Snag Stem,Fire: Medium Severity [Type],LULC: Mortality,0.5
Biomass: Foliage,DOM: Aboveground Very Fast,Fire: Medium Severity [Type],LULC: Mortality,0.0082
Biomass: Foliage,Atmosphere CO2,Fire: Medium Severity [Type],LULC: Emission,0.4426
Biomass: Foliage,Atmosphere CH4,Fire: Medium Severity [Type],LULC: Emission,0.0049
Biomass: Foliage,Atmosphere CO,Fire: Medium Severity [Type],LULC: Emission,0.04425
Biomass: Other Wood,DOM: Snag Branch,Fire: Medium Severity [Type],LULC: Mortality,0.454
Biomass: Other Wood,Atmosphere CO2,Fire: Medium Severity [Type],LULC: Emission,0.0414
Biomass: Other Wood,Atmosphere CH4,Fire: Medium Severity [Type],LULC: Emission,4.50E-04
Biomass: Other Wood,Atmosphere CO,Fire: Medium Severity [Type],LULC: Emission,0.00415
Biomass: Coarse Root,DOM: Aboveground Fast,Fire: Medium Severity [Type],LULC: Mortality,0.25
Biomass: Coarse Root,DOM: Belowground Fast,Fire: Medium Severity [Type],LULC: Mortality,0.25
Biomass: Fine Root,DOM: Aboveground Very Fast,Fire: Medium Severity [Type],LULC: Mortality,0.13655
Biomass: Fine Root,DOM: Belowground Very Fast,Fire: Medium Severity [Type],LULC: Mortality,0.25
Biomass: Fine Root,Atmosphere CO2,Fire: Medium Severity [Type],LULC: Emission,0.1021
Biomass: Fine Root,Atmosphere CH4,Fire: Medium Severity [Type],LULC: Emission,0.00115
Biomass: Fine Root,Atmosphere CO,Fire: Medium Severity [Type],LULC: Emission,0.0102
DOM: Aboveground Very Fast,Atmosphere CO2,Fire: Medium Severity [Type],LULC: Emission,0.45
