SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
Humboldt,2061,Management: Forest Selection [Type],1125.6884142650822,Normal,Iteration and Timestep,684.295840130797,0,2203.7646297394963
Humboldt,2071,Management: Forest Selection [Type],786.4941960460002,Normal,Iteration and Timestep,478.1027323557023,0,1539.7227765492692
Humboldt,2081,Management: Forest Selection [Type],505.81593944950833,Normal,Iteration and Timestep,307.48095019093086,0,990.2378512485842
Humboldt,2091,Management: Forest Selection [Type],226.12947881272137,Normal,Iteration and Timestep,137.4620718500632,0,442.69456879348473
Imperial,2017,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Imperial,2021,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Imperial,2031,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Imperial,2041,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Imperial,2051,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Imperial,2061,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Imperial,2071,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Imperial,2081,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Imperial,2091,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Inyo,2017,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Inyo,2021,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Inyo,2031,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Inyo,2041,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Inyo,2051,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Inyo,2061,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Inyo,2071,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Inyo,2081,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Inyo,2091,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Kern,2017,Management: Forest Selection [Type],218.4707764773565,Normal,Iteration and Timestep,245.91038914248742,0,722.2911385577909
Kern,2021,Management: Forest Selection [Type],230.21651714818213,Normal,Iteration and Timestep,259.131377806062,0,761.1239954695001
Kern,2031,Management: Forest Selection [Type],216.70891537673265,Normal,Iteration and Timestep,243.9272408429512,0,716.4662100210344
Kern,2041,Management: Forest Selection [Type],187.49138545805394,Normal,Iteration and Timestep,211.04003154230944,0,619.869478453158
Kern,2051,Management: Forest Selection [Type],191.4555729344576,Normal,Iteration and Timestep,215.50211521626585,0,632.9755676608598
Kern,2061,Management: Forest Selection [Type],166.64269576733844,Normal,Iteration and Timestep,187.5727766644645,0,550.9411574348741
Kern,2071,Management: Forest Selection [Type],116.42965439955894,Normal,Iteration and Timestep,131.05305012768312,0,384.9306941373173
Kern,2081,Management: Forest Selection [Type],74.87909677651332,Normal,Iteration and Timestep,84.28380273028802,0,247.55946281214605
Kern,2091,Management: Forest Selection [Type],33.47536091185301,Normal,Iteration and Timestep,37.67981769118758,0,110.67364219837118
Kings,2017,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Kings,2021,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Kings,2031,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Kings,2041,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Kings,2051,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Kings,2061,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Kings,2071,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Kings,2081,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Kings,2091,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Lake,2017,Management: Forest Selection [Type],115.9232691512504,Normal,Iteration and Timestep,183.05457849233517,0,481.52742570519393
Lake,2021,Management: Forest Selection [Type],122.15570297658644,Normal,Iteration and Timestep,192.89622249729942,0,507.4159969796667
Lake,2031,Management: Forest Selection [Type],114.98840407744999,Normal,Iteration and Timestep,181.5783318915905,0,477.644140014023
Lake,2041,Management: Forest Selection [Type],99.48522493692658,Normal,Iteration and Timestep,157.09724242924193,0,413.24631896877196
Lake,2051,Management: Forest Selection [Type],101.5886713529775,Normal,Iteration and Timestep,160.41879728091737,0,421.9837117739065
Lake,2061,Management: Forest Selection [Type],88.42265489695511,Normal,Iteration and Timestep,139.62832432043035,0,367.2941049565827
Lake,2071,Management: Forest Selection [Type],61.77900029364352,Normal,Iteration and Timestep,97.55529619920817,0,256.62046275821154
Lake,2081,Management: Forest Selection [Type],39.731765636517274,Normal,Iteration and Timestep,62.74048053164713,0,165.03964187476404
Lake,2091,Management: Forest Selection [Type],17.762436402207722,Normal,Iteration and Timestep,28.048685414148125,0,73.78242813224745
Lassen,2017,Management: Forest Selection [Type],2563.687683152653,Normal,Iteration and Timestep,2371.7224163458095,80.25457095086566,9630.548514103879
Lassen,2021,Management: Forest Selection [Type],2701.520354289892,Normal,Iteration and Timestep,2499.2343742138637,84.56933282994446,10148.319939593335
Lassen,2031,Management: Forest Selection [Type],2543.0127824820665,Normal,Iteration and Timestep,2352.595622665601,79.60735666900382,9552.882800280458
