Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2051,Fresno,Ag Contraction: Cropland,648.9308629166667,Iteration and Timestep,490.94676297996597,94.089495,1476.092185
2061,Fresno,Ag Contraction: Cropland,648.9308629166667,Iteration and Timestep,490.94676297996597,94.089495,1476.092185
2071,Fresno,Ag Contraction: Cropland,648.9308629166667,Iteration and Timestep,490.94676297996597,94.089495,1476.092185
2081,Fresno,Ag Contraction: Cropland,648.9308629166667,Iteration and Timestep,490.94676297996597,94.089495,1476.092185
2091,Fresno,Ag Contraction: Cropland,648.9308629166667,Iteration and Timestep,490.94676297996597,94.089495,1476.092185
2017,Glenn,Ag Contraction: Cropland,274.579451,Iteration and Timestep,213.94480281021254,36.219397,853.280431
2021,Glenn,Ag Contraction: Cropland,274.579451,Iteration and Timestep,213.94480281021254,36.219397,853.280431
2031,Glenn,Ag Contraction: Cropland,274.579451,Iteration and Timestep,213.94480281021254,36.219397,853.280431
2041,Glenn,Ag Contraction: Cropland,274.579451,Iteration and Timestep,213.94480281021254,36.219397,853.280431
2051,Glenn,Ag Contraction: Cropland,274.579451,Iteration and Timestep,213.94480281021254,36.219397,853.280431
2061,Glenn,Ag Contraction: Cropland,274.579451,Iteration and Timestep,213.94480281021254,36.219397,853.280431
2071,Glenn,Ag Contraction: Cropland,274.579451,Iteration and Timestep,213.94480281021254,36.219397,853.280431
2081,Glenn,Ag Contraction: Cropland,274.579451,Iteration and Timestep,213.94480281021254,36.219397,853.280431
2091,Glenn,Ag Contraction: Cropland,274.579451,Iteration and Timestep,213.94480281021254,36.219397,853.280431
2017,Humboldt,Ag Contraction: Cropland,0.2,Iteration and Timestep,0.1,0,0.4
2021,Humboldt,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2031,Humboldt,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2041,Humboldt,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2051,Humboldt,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2061,Humboldt,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2071,Humboldt,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2081,Humboldt,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2091,Humboldt,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2017,Imperial,Ag Contraction: Cropland,321.87712725,Iteration and Timestep,392.99343965210096,69.808335,1505.836606
2021,Imperial,Ag Contraction: Cropland,321.87712725,Iteration and Timestep,392.99343965210096,69.808335,1505.836606
2031,Imperial,Ag Contraction: Cropland,321.87712725,Iteration and Timestep,392.99343965210096,69.808335,1505.836606
2041,Imperial,Ag Contraction: Cropland,321.87712725,Iteration and Timestep,392.99343965210096,69.808335,1505.836606
2051,Imperial,Ag Contraction: Cropland,321.87712725,Iteration and Timestep,392.99343965210096,69.808335,1505.836606
2061,Imperial,Ag Contraction: Cropland,321.87712725,Iteration and Timestep,392.99343965210096,69.808335,1505.836606
2071,Imperial,Ag Contraction: Cropland,321.87712725,Iteration and Timestep,392.99343965210096,69.808335,1505.836606
2081,Imperial,Ag Contraction: Cropland,321.87712725,Iteration and Timestep,392.99343965210096,69.808335,1505.836606
2091,Imperial,Ag Contraction: Cropland,321.87712725,Iteration and Timestep,392.99343965210096,69.808335,1505.836606
2017,Inyo,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2021,Inyo,Ag Contraction: Cropland,0.2,Iteration and Timestep,0.1,0,0.4
2031,Inyo,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2041,Inyo,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2051,Inyo,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2061,Inyo,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2071,Inyo,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2081,Inyo,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2091,Inyo,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2017,Kern,Ag Contraction: Cropland,3322.47206,Iteration and Timestep,1540.9739671551138,1447.7641649999998,6265.9556809999995
2021,Kern,Ag Contraction: Cropland,3322.47206,Iteration and Timestep,1540.9739671551138,1447.7641649999998,6265.9556809999995
2031,Kern,Ag Contraction: Cropland,3322.47206,Iteration and Timestep,1540.9739671551138,1447.7641649999998,6265.9556809999995
2041,Kern,Ag Contraction: Cropland,3322.47206,Iteration and Timestep,1540.9739671551138,1447.7641649999998,6265.9556809999995
2051,Kern,Ag Contraction: Cropland,3322.47206,Iteration and Timestep,1540.9739671551138,1447.7641649999998,6265.9556809999995
2061,Kern,Ag Contraction: Cropland,3322.47206,Iteration and Timestep,1540.9739671551138,1447.7641649999998,6265.9556809999995
2071,Kern,Ag Contraction: Cropland,3322.47206,Iteration and Timestep,1540.9739671551138,1447.7641649999998,6265.9556809999995
2081,Kern,Ag Contraction: Cropland,3322.47206,Iteration and Timestep,1540.9739671551138,1447.7641649999998,6265.9556809999995
2091,Kern,Ag Contraction: Cropland,3322.47206,Iteration and Timestep,1540.9739671551138,1447.7641649999998,6265.9556809999995
2017,Kings,Ag Contraction: Cropland,2775.8593074166665,Iteration and Timestep,2076.9472183182156,261.629499,6067.659541
2021,Kings,Ag Contraction: Cropland,2775.8593074166665,Iteration and Timestep,2076.9472183182156,261.629499,6067.659541
2031,Kings,Ag Contraction: Cropland,2775.8593074166665,Iteration and Timestep,2076.9472183182156,261.629499,6067.659541
2041,Kings,Ag Contraction: Cropland,2775.8593074166665,Iteration and Timestep,2076.9472183182156,261.629499,6067.659541
2051,Kings,Ag Contraction: Cropland,2775.8593074166665,Iteration and Timestep,2076.9472183182156,261.629499,6067.659541
2061,Kings,Ag Contraction: Cropland,2775.8593074166665,Iteration and Timestep,2076.9472183182156,261.629499,6067.659541
2071,Kings,Ag Contraction: Cropland,2775.8593074166665,Iteration and Timestep,2076.9472183182156,261.629499,6067.659541
2081,Kings,Ag Contraction: Cropland,2775.8593074166665,Iteration and Timestep,2076.9472183182156,261.629499,6067.659541
2091,Kings,Ag Contraction: Cropland,2775.8593074166665,Iteration and Timestep,2076.9472183182156,261.629499,6067.659541
2017,Lake,Ag Contraction: Cropland,167.2769581,Iteration and Timestep,125.3838172944897,24.28116,341.150298
2021,Lake,Ag Contraction: Cropland,167.2769581,Iteration and Timestep,125.3838172944897,24.28116,341.150298
2031,Lake,Ag Contraction: Cropland,167.2769581,Iteration and Timestep,125.3838172944897,24.28116,341.150298
2041,Lake,Ag Contraction: Cropland,167.2769581,Iteration and Timestep,125.3838172944897,24.28116,341.150298
2051,Lake,Ag Contraction: Cropland,167.2769581,Iteration and Timestep,125.3838172944897,24.28116,341.150298
2061,Lake,Ag Contraction: Cropland,167.2769581,Iteration and Timestep,125.3838172944897,24.28116,341.150298
2071,Lake,Ag Contraction: Cropland,167.2769581,Iteration and Timestep,125.3838172944897,24.28116,341.150298
2081,Lake,Ag Contraction: Cropland,167.2769581,Iteration and Timestep,125.3838172944897,24.28116,341.150298
2091,Lake,Ag Contraction: Cropland,167.2769581,Iteration and Timestep,125.3838172944897,24.28116,341.150298
2017,Lassen,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2021,Lassen,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2031,Lassen,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2041,Lassen,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2051,Lassen,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2061,Lassen,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2071,Lassen,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2081,Lassen,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2091,Lassen,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2017,Los Angeles,Ag Contraction: Cropland,556.4263880833333,Iteration and Timestep,302.15014899717943,115.942539,1011.310314
