Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2041,Glenn,Urbanization,32.08822741666667,Normal,Timestep and iteration,27.785359670836343,7.284348,82.758287
2051,Glenn,Urbanization,32.08822741666667,Normal,Timestep and iteration,27.785359670836343,7.284348,82.758287
2061,Glenn,Urbanization,21.392151611111114,Normal,Timestep and iteration,18.523573113890897,4.856232,55.17219133333334
2071,Glenn,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Glenn,Urbanization,21.392151611111114,Normal,Timestep and iteration,18.523573113890897,4.856232,55.17219133333334
2091,Glenn,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Humboldt,Urbanization,20,Normal,Timestep and iteration,10,0,40
2021,Humboldt,Urbanization,10,Normal,Timestep and iteration,5,0,20
2031,Humboldt,Urbanization,0,Normal,Timestep and iteration,0,0,0
2041,Humboldt,Urbanization,0,Normal,Timestep and iteration,0,0,0
2051,Humboldt,Urbanization,0,Normal,Timestep and iteration,0,0,0
2061,Humboldt,Urbanization,0,Normal,Timestep and iteration,0,0,0
2071,Humboldt,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Humboldt,Urbanization,0,Normal,Timestep and iteration,0,0,0
2091,Humboldt,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Imperial,Urbanization,1488.310589230769,Normal,Timestep and iteration,1838.4059413355692,296.97726461538457,6842.617666153846
2021,Imperial,Urbanization,1289.8691773333333,Normal,Timestep and iteration,1593.2851491574934,257.380296,5930.268644
2031,Imperial,Urbanization,1091.4277654358973,Normal,Timestep and iteration,1348.1643569794176,217.78332738461538,5017.919621846154
2041,Imperial,Urbanization,843.3760005641025,Normal,Timestep and iteration,1041.7633667568225,168.2871166153846,3877.4833441538462
2051,Imperial,Urbanization,1066.6225889487177,Normal,Timestep and iteration,1317.524257957158,212.8337063076923,4903.875994076922
2061,Imperial,Urbanization,669.7397651538462,Normal,Timestep and iteration,827.2826736010062,133.63976907692307,3079.177949769231
2071,Imperial,Urbanization,917.791530025641,Normal,Timestep and iteration,1133.6836638236011,183.13597984615384,4219.614227461539
2081,Imperial,Urbanization,768.960471102564,Normal,Timestep and iteration,949.8430696900441,153.43825338461536,3535.3524608461535
2091,Imperial,Urbanization,570.5190592051281,Normal,Timestep and iteration,704.7222775119681,113.84128476923074,2623.003438692307
2017,Inyo,Urbanization,10,Normal,Timestep and iteration,5,0,20
2021,Inyo,Urbanization,20,Normal,Timestep and iteration,10,0,40
2031,Inyo,Urbanization,10,Normal,Timestep and iteration,5,0,20
2041,Inyo,Urbanization,0,Normal,Timestep and iteration,0,0,0
2051,Inyo,Urbanization,0,Normal,Timestep and iteration,0,0,0
2061,Inyo,Urbanization,10,Normal,Timestep and iteration,5,0,20
2071,Inyo,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Inyo,Urbanization,10,Normal,Timestep and iteration,5,0,20
2091,Inyo,Urbanization,10,Normal,Timestep and iteration,5,0,20
2017,Kern,Urbanization,1168.7452048143589,Normal,Timestep and iteration,570.9411041735203,375.57828497333327,2050.614107573333
2021,Kern,Urbanization,1392.8881208061537,Normal,Timestep and iteration,680.436658398579,447.60699715999993,2443.8825665599993
2031,Kern,Urbanization,1312.8370793805127,Normal,Timestep and iteration,641.3311033182009,421.8824570933333,2303.429545493333
2041,Kern,Urbanization,1024.653330248205,Normal,Timestep and iteration,500.5511050288398,329.27411285333335,1797.7986696533333
2051,Kern,Urbanization,1120.7145799589744,Normal,Timestep and iteration,547.4777711252935,360.14356093333333,1966.342294933333
2061,Kern,Urbanization,992.6329136779486,Normal,Timestep and iteration,484.90888299668853,318.98429682666665,1741.6174612266664
2071,Kern,Urbanization,1040.6635385333334,Normal,Timestep and iteration,508.3722160449154,334.41902086666664,1825.8892738666666
2081,Kern,Urbanization,672.4287479753847,Normal,Timestep and iteration,328.48666267517615,216.08613656,1179.8053769599999
2091,Kern,Urbanization,560.3572899794872,Normal,Timestep and iteration,273.7388855626468,180.07178046666667,983.1711474666665
2017,Kings,Urbanization,1807.4920796874999,Normal,Timestep and iteration,1330.7450709944724,754.99231875,4657.6829312499995
2021,Kings,Urbanization,1409.8438221562499,Normal,Timestep and iteration,1037.9811553756883,588.894008625,3632.9926863749997
