SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Fresno,2061,Management: Forest Clearcut [Type],1752.7521588791208,Normal,Iteration and Timestep,1611.0535028433028
Fresno,2071,Management: Forest Clearcut [Type],1488.880499074124,Normal,Iteration and Timestep,1368.5141571198471
Fresno,2081,Management: Forest Clearcut [Type],1371.5189759631808,Normal,Iteration and Timestep,1260.6405527719148
Fresno,2091,Management: Forest Clearcut [Type],1091.5388718096233,Normal,Iteration and Timestep,1003.2950260595273
Glenn,2017,Management: Forest Clearcut [Type],281.23857636828893,Normal,Iteration and Timestep,221.21363010859227
Glenn,2021,Management: Forest Clearcut [Type],375.1925162852298,Normal,Iteration and Timestep,295.114914848471
Glenn,2031,Management: Forest Clearcut [Type],389.5271140835027,Normal,Iteration and Timestep,306.39006940248237
Glenn,2041,Management: Forest Clearcut [Type],425.8310411160851,Normal,Iteration and Timestep,334.9456238707937
Glenn,2051,Management: Forest Clearcut [Type],404.796576955576,Normal,Iteration and Timestep,318.4005601230597
Glenn,2061,Management: Forest Clearcut [Type],356.0277822723214,Normal,Iteration and Timestep,280.0405234338689
Glenn,2071,Management: Forest Clearcut [Type],302.4288513744315,Normal,Iteration and Timestep,237.8812498840873
Glenn,2081,Management: Forest Clearcut [Type],278.5897919925211,Normal,Iteration and Timestep,219.1301776366554
Glenn,2091,Management: Forest Clearcut [Type],221.71883333632974,Normal,Iteration and Timestep,174.39722750389296
Humboldt,2017,Management: Forest Clearcut [Type],4202.353343041548,Normal,Iteration and Timestep,1990.1524745539616
Humboldt,2021,Management: Forest Clearcut [Type],5606.242022185068,Normal,Iteration and Timestep,2655.0067361362544
Humboldt,2031,Management: Forest Clearcut [Type],5820.433993132338,Normal,Iteration and Timestep,2756.443870573354
Humboldt,2041,Management: Forest Clearcut [Type],6362.898441292272,Normal,Iteration and Timestep,3013.34443931079
Humboldt,2051,Management: Forest Clearcut [Type],6048.595005663125,Normal,Iteration and Timestep,2864.4964702998295
Humboldt,2061,Management: Forest Clearcut [Type],5319.876669722957,Normal,Iteration and Timestep,2519.3896977040454
Humboldt,2071,Management: Forest Clearcut [Type],4518.984952267947,Normal,Iteration and Timestep,2140.103021113152
Humboldt,2081,Management: Forest Clearcut [Type],4162.774391888248,Normal,Iteration and Timestep,1971.4086562340628
Humboldt,2091,Management: Forest Clearcut [Type],3312.991028890927,Normal,Iteration and Timestep,1568.9678511303532
Imperial,2017,Management: Forest Clearcut [Type],43.26747328742906,Normal,Iteration and Timestep,183.56834259809335
Imperial,2021,Management: Forest Clearcut [Type],57.72192558234303,Normal,Iteration and Timestep,244.89339001452007
Imperial,2031,Management: Forest Clearcut [Type],59.92724832053887,Normal,Iteration and Timestep,254.24978199181905
Imperial,2041,Management: Forest Clearcut [Type],65.51246786401309,Normal,Iteration and Timestep,277.94586167345653
Imperial,2051,Management: Forest Clearcut [Type],62.27639645470399,Normal,Iteration and Timestep,264.21637344589834
Imperial,2061,Management: Forest Clearcut [Type],54.773504964972524,Normal,Iteration and Timestep,232.38430074052258
Imperial,2071,Management: Forest Clearcut [Type],46.52751559606637,Normal,Iteration and Timestep,197.39953073844828
Imperial,2081,Management: Forest Clearcut [Type],42.8599679988494,Normal,Iteration and Timestep,181.83944408054896
Imperial,2091,Management: Forest Clearcut [Type],34.11058974405073,Normal,Iteration and Timestep,144.7189759097434
Inyo,2017,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Inyo,2021,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Inyo,2031,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Inyo,2041,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Inyo,2051,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Inyo,2061,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Inyo,2071,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Inyo,2081,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Inyo,2091,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Kern,2017,Management: Forest Clearcut [Type],346.1397862994325,Normal,Iteration and Timestep,350.56549753564815
Kern,2021,Management: Forest Clearcut [Type],461.77540465874426,Normal,Iteration and Timestep,467.6796221971416
Kern,2031,Management: Forest Clearcut [Type],479.417986564311,Normal,Iteration and Timestep,485.54778052028826
Kern,2041,Management: Forest Clearcut [Type],524.0997429121047,Normal,Iteration and Timestep,530.8008336647791
Kern,2051,Management: Forest Clearcut [Type],498.21117163763194,Normal,Iteration and Timestep,504.58125351668355
Kern,2061,Management: Forest Clearcut [Type],438.1880397197802,Normal,Iteration and Timestep,443.7906713955434
