Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2061,Los Angeles,Ag Expansion: Cropland,698.7608282643978,Iteration and Timestep,521.0172253279425,175.30001695811515,1694.783651890052
2071,Los Angeles,Ag Expansion: Cropland,475.7036257565444,Iteration and Timestep,354.6990231059934,119.34105389005234,1153.7777955863871
2081,Los Angeles,Ag Expansion: Cropland,336.8618976649214,Iteration and Timestep,251.17442784539247,84.50945442931936,817.0292523769632
2091,Los Angeles,Ag Expansion: Cropland,118.35688296335078,Iteration and Timestep,88.25047464838114,29.692511015706806,287.06433191623034
2017,Madera,Ag Expansion: Cropland,2293.253398622549,Iteration and Timestep,1832.2627035712364,327.95039288235296,6832.885059411765
2021,Madera,Ag Expansion: Cropland,2215.515995279412,Iteration and Timestep,1770.1521034501775,316.8334304117647,6601.261837058823
2031,Madera,Ag Expansion: Cropland,1593.6167685343137,Iteration and Timestep,1273.2673024817066,227.8977306470588,4748.276058235294
2041,Madera,Ag Expansion: Cropland,1749.0915752205883,Iteration and Timestep,1397.4885027238242,250.13165558823528,5211.522502941176
2051,Madera,Ag Expansion: Cropland,1166.0610501470587,Iteration and Timestep,931.6590018158828,166.75443705882353,3474.3483352941175
2061,Madera,Ag Expansion: Cropland,1049.454945132353,Iteration and Timestep,838.4931016342946,150.07899335294118,3126.913501764706
2071,Madera,Ag Expansion: Cropland,1088.3236468039215,Iteration and Timestep,869.548401694824,155.63747458823528,3242.725112941176
2081,Madera,Ag Expansion: Cropland,738.505331759804,Iteration and Timestep,590.0507011500591,105.61114347058823,2200.420612352941
2091,Madera,Ag Expansion: Cropland,272.0809117009804,Iteration and Timestep,217.387100423706,38.90936864705882,810.681278235294
2017,Marin,Ag Expansion: Cropland,10.728616346491227,Iteration and Timestep,13.67228813990831,0,44.20662068421053
2021,Marin,Ag Expansion: Cropland,16.85925425877193,Iteration and Timestep,21.48502421985592,0,69.46754678947369
2031,Marin,Ag Expansion: Cropland,19.924573214912282,Iteration and Timestep,25.391392259829722,0,82.09800984210527
2041,Marin,Ag Expansion: Cropland,16.85925425877193,Iteration and Timestep,21.48502421985592,0,69.46754678947369
2051,Marin,Ag Expansion: Cropland,13.793935302631581,Iteration and Timestep,17.578656179882117,0,56.83708373684211
2061,Marin,Ag Expansion: Cropland,15.326594780701754,Iteration and Timestep,19.531840199869016,0,63.152315263157895
2071,Marin,Ag Expansion: Cropland,7.663297390350877,Iteration and Timestep,9.765920099934508,0,31.576157631578948
2081,Marin,Ag Expansion: Cropland,7.663297390350877,Iteration and Timestep,9.765920099934508,0,31.576157631578948
2091,Marin,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Mariposa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2021,Mariposa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Mariposa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Mariposa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Mariposa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Mariposa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Mariposa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Mariposa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Mariposa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Mendocino,Ag Expansion: Cropland,7.811666121212121,Iteration and Timestep,6.921025997779097,0,17.070391272727274
2021,Mendocino,Ag Expansion: Cropland,7.811666121212121,Iteration and Timestep,6.921025997779097,0,17.070391272727274
2031,Mendocino,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Mendocino,Ag Expansion: Cropland,15.623332242424242,Iteration and Timestep,13.842051995558194,0,34.14078254545455
2051,Mendocino,Ag Expansion: Cropland,31.246664484848484,Iteration and Timestep,27.684103991116388,0,68.2815650909091
2061,Mendocino,Ag Expansion: Cropland,7.811666121212121,Iteration and Timestep,6.921025997779097,0,17.070391272727274
2071,Mendocino,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Mendocino,Ag Expansion: Cropland,7.811666121212121,Iteration and Timestep,6.921025997779097,0,17.070391272727274
2091,Mendocino,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Merced,Ag Expansion: Cropland,1462.4184676538462,Iteration and Timestep,694.4510018152437,468.43960984615387,3105.124548307692
2021,Merced,Ag Expansion: Cropland,1163.287417451923,Iteration and Timestep,552.4042059893983,372.6224169230769,2469.985436153846
2031,Merced,Ag Expansion: Cropland,897.3931506057693,Iteration and Timestep,426.1403874775359,287.4515787692308,1905.4173364615385
2041,Merced,Ag Expansion: Cropland,764.4460171826922,Iteration and Timestep,363.0084782216046,244.86615969230766,1623.1332866153841
2051,Merced,Ag Expansion: Cropland,1262.9977675192308,Iteration and Timestep,599.7531379313468,404.56148123076923,2681.6984735384613
2061,Merced,Ag Expansion: Cropland,797.6828005384615,Iteration and Timestep,378.79145553558743,255.51251446153844,1693.7042990769228
2071,Merced,Ag Expansion: Cropland,531.7885336923077,Iteration and Timestep,252.527637023725,170.34167630769232,1129.1361993846153
2081,Merced,Ag Expansion: Cropland,365.60461691346154,Iteration and Timestep,173.61275045381092,117.10990246153847,776.281137076923
2091,Merced,Ag Expansion: Cropland,232.6574834903846,Iteration and Timestep,110.48084119787967,74.52448338461538,493.9970872307692
2017,Modoc,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2021,Modoc,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Modoc,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Modoc,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Modoc,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Modoc,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Modoc,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Modoc,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Modoc,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Mono,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2021,Mono,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Mono,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Mono,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Mono,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Mono,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Mono,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Mono,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Mono,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Monterey,Ag Expansion: Cropland,1303.7663291739132,Iteration and Timestep,1581.3725620573136,273.3214053913043,6097.949408347826
2021,Monterey,Ag Expansion: Cropland,941.6090155144929,Iteration and Timestep,1142.1024059302822,197.39879278260872,4404.074572695652
2031,Monterey,Ag Expansion: Cropland,1303.7663291739132,Iteration and Timestep,1581.3725620573136,273.3214053913043,6097.949408347826
2041,Monterey,Ag Expansion: Cropland,760.5303586847826,Iteration and Timestep,922.4673278667663,159.43748647826087,3557.137154869565
2051,Monterey,Ag Expansion: Cropland,579.4517018550725,Iteration and Timestep,702.8322498032505,121.47618017391305,2710.1997370434783
2061,Monterey,Ag Expansion: Cropland,651.8831645869566,Iteration and Timestep,790.6862810286568,136.66070269565216,3048.974704173913
2071,Monterey,Ag Expansion: Cropland,289.72585092753627,Iteration and Timestep,351.41612490162527,60.738090086956525,1355.0998685217392
2081,Monterey,Ag Expansion: Cropland,36.215731365942034,Iteration and Timestep,43.92701561270316,7.592261260869566,169.3874835652174
2091,Monterey,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Napa,Ag Expansion: Cropland,966.0192058333333,Iteration and Timestep,1310.8265488975449,197.9813842222222,5025.210887555556
