Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2091,Kern,Ag Expansion,1764.1503777066664,Normal,Iteration and Timestep,810.1903774300393,220.53768256,3266.81964128
2017,Kings,Ag Expansion,859.5024782499999,Normal,Iteration and Timestep,726.4776850321648,67.380219,2086.6621874999996
2021,Kings,Ag Expansion,1360.878923895833,Normal,Iteration and Timestep,1150.2563346342608,106.68534674999998,3303.8817968749995
2031,Kings,Ag Expansion,1862.2553695416666,Normal,Iteration and Timestep,1574.034984236357,145.9904745,4521.10140625
2041,Kings,Ag Expansion,1790.6301630208332,Normal,Iteration and Timestep,1513.4951771503434,140.37545625,4347.212890625
2051,Kings,Ag Expansion,1432.5041304166666,Normal,Iteration and Timestep,1210.7961417202748,112.300365,3477.7703125
2061,Kings,Ag Expansion,1647.3797499791663,Normal,Iteration and Timestep,1392.4155629783158,129.14541974999997,3999.4358593749994
2071,Kings,Ag Expansion,1647.3797499791663,Normal,Iteration and Timestep,1392.4155629783158,129.14541974999997,3999.4358593749994
2081,Kings,Ag Expansion,1217.6285108541665,Normal,Iteration and Timestep,1029.1767204622336,95.45531025000001,2956.104765625
2091,Kings,Ag Expansion,1647.3797499791663,Normal,Iteration and Timestep,1392.4155629783158,129.14541974999997,3999.4358593749994
2017,Lake,Ag Expansion,45.324832,Normal,Iteration and Timestep,42.23783901839801,1.5974447368421052,134.1321097368421
2021,Lake,Ag Expansion,181.299328,Normal,Iteration and Timestep,168.95135607359205,6.389778947368421,536.5284389473684
2031,Lake,Ag Expansion,117.8445632,Normal,Iteration and Timestep,109.81838144783485,4.153356315789474,348.7434853157894
2041,Lake,Ag Expansion,108.7795968,Normal,Iteration and Timestep,101.37081364415523,3.8338673684210525,321.917063368421
2051,Lake,Ag Expansion,172.2343616,Normal,Iteration and Timestep,160.50378826991246,6.07029,509.70201699999996
2061,Lake,Ag Expansion,290.07892480000004,Normal,Iteration and Timestep,270.32216971774733,10.223646315789475,858.4455023157894
2071,Lake,Ag Expansion,208.4942272,Normal,Iteration and Timestep,194.29405948463088,7.348245789473684,617.0077047894737
2081,Lake,Ag Expansion,235.6891264,Normal,Iteration and Timestep,219.6367628956697,8.306712631578948,697.4869706315789
2091,Lake,Ag Expansion,244.75409280000002,Normal,Iteration and Timestep,228.08433069934932,8.62620157894737,724.3133925789474
2017,Lassen,Ag Expansion,0.2,Normal,Iteration and Timestep,0.1,0,0.4
2021,Lassen,Ag Expansion,0.3,Normal,Iteration and Timestep,0.15,0,0.6
2031,Lassen,Ag Expansion,0.2,Normal,Iteration and Timestep,0.1,0,0.4
2041,Lassen,Ag Expansion,0.2,Normal,Iteration and Timestep,0.1,0,0.4
2051,Lassen,Ag Expansion,0.3,Normal,Iteration and Timestep,0.15,0,0.6
2061,Lassen,Ag Expansion,0.3,Normal,Iteration and Timestep,0.15,0,0.6
2071,Lassen,Ag Expansion,0.3,Normal,Iteration and Timestep,0.15,0,0.6
2081,Lassen,Ag Expansion,1,Normal,Iteration and Timestep,0.5,0,2
2091,Lassen,Ag Expansion,0.6,Normal,Iteration and Timestep,0.3,0,1.2
2017,Los Angeles,Ag Expansion,944.5789698036648,Normal,Iteration and Timestep,704.3066726745802,236.9690782984293,2290.994187408377
2021,Los Angeles,Ag Expansion,1377.0368114005234,Normal,Iteration and Timestep,1026.7603300436651,345.4609454712042,3339.8830924869108
2031,Los Angeles,Ag Expansion,1345.1714967565445,Normal,Iteration and Timestep,1003.0005868691011,337.46680789005234,3262.5965415863875
2041,Los Angeles,Ag Expansion,1672.9290188089003,Normal,Iteration and Timestep,1247.386516664618,419.6922230104712,4057.5439222774867
2051,Los Angeles,Ag Expansion,1008.3095990916229,Normal,Iteration and Timestep,751.8261590237086,252.95735346073297,2445.567289209424
2061,Los Angeles,Ag Expansion,284.5117378926701,Normal,Iteration and Timestep,212.1405640586085,71.37622840314135,690.058490183246
