county,class,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016
Shasta,Agricultural Land Subtotal,"449,176","448,956","448,465","448,710","448,325","447,391","446,946","445,257","444,828","442,586","437,765","435,343","434,920","433,770","433,457","433,346","433,188"
Shasta, Urban and Built-Up Land,"24,333","25,061","25,497","27,140","28,731","29,765","30,014","31,252","32,656","33,615","35,524","36,524","36,640","36,931","37,039","37,167","37,475"
Shasta, Other Land,"542,219","541,710","541,764","539,829","538,623","538,495","538,217","538,829","537,854","539,138","542,049","543,469","543,773","544,630","544,835","544,841","544,658"
Shasta, Water Area,"5,484","5,486","5,486","5,533","5,533","5,560","6,035","5,875","5,875","5,875","5,875","5,875","5,875","5,878","5,878","5,877","5,903"
Shasta,Total Area Inventoried,"1,021,212","1,021,213","1,021,212","1,021,212","1,021,212","1,021,211","1,021,212","1,021,213","1,021,213","1,021,214","1,021,213","1,021,211","1,021,208","1,021,209","1,021,209","1,021,231","1,021,224"
Siskiyou, Prime Farmland,,,,,,,"92,373","92,890","92,982","93,046","79,822","77,573","77,208","74,245","74,793","70,724","71,456"
Siskiyou, Farmland of Statewide Importance,,,,,,,"30,714","30,619","30,588","31,525","28,747","28,121","27,678","26,728","27,304","25,963","25,799"
Siskiyou, Unique Farmland,,,,,,,"30,618","34,148","35,034","34,691","33,713","33,271","33,008","33,584","34,837","35,365","36,486"
Siskiyou, Farmland of Local Importance,,,,,,,"657,125","653,331","652,039","626,964","620,165","623,070","616,670","624,523","619,545","622,245","622,840"
Siskiyou,Important Farmland Subtotal,,,,,,,"810,830","810,988","810,643","786,226","762,447","762,035","754,564","759,080","756,479","754,297","756,581"
Siskiyou, Grazing Land ,,,,,,,"377,765","376,289","376,205","393,253","386,314","386,430","393,893","387,885","389,757","391,713","391,547"
Siskiyou,Agricultural Land Subtotal,,,,,,,"1,188,595","1,187,277","1,186,848","1,179,479","1,148,761","1,148,465","1,148,457","1,146,965","1,146,236","1,146,010","1,148,128"
Siskiyou, Urban and Built-Up Land,,,,,,,"12,907","12,890","13,167","15,376","15,376","15,607","15,605","15,775","15,861","15,879","15,978"
Siskiyou, Other Land,,,,,,,"59,605","62,726","62,878","68,039","98,755","98,819","98,831","100,152","100,795","101,012","98,737"
Siskiyou, Water Area,,,,,,,"20,185","18,399","18,399","18,399","18,399","18,399","18,399","18,399","18,399","18,399","18,453"
Siskiyou,Total Area Inventoried,,,,,,,"1,281,292","1,281,292","1,281,292","1,281,293","1,281,291","1,281,290","1,281,292","1,281,291","1,281,291","1,281,300","1,281,296"
San Joaquin, Prime Farmland,,,,"437,859","436,146","434,476","433,134","429,168","419,227","416,307","412,548","407,609","396,984","385,338","382,115","382,877","381,634"
San Joaquin, Farmland of Statewide Importance,,,,"100,277","99,566","99,148","98,163","96,795","93,739","92,559","91,225","89,274","86,297","83,308","82,160","82,271","82,618"
San Joaquin, Unique Farmland,,,,"46,863","47,086","47,206","48,759","52,715","59,118","61,030","62,534","63,232","66,621","69,482","72,053","76,415","81,920"
San Joaquin, Farmland of Local Importance,,,,"53,145","53,031","54,267","53,479","53,682","58,906","56,506","57,808","59,965","65,788","76,869","76,405","73,429","68,903"
San Joaquin,Important Farmland Subtotal,,,,"638,144","635,829","635,097","633,535","632,360","630,990","626,402","624,115","620,080","615,690","614,997","612,733","614,992","615,075"
San Joaquin, Grazing Land ,,,,"157,874","157,728","157,409","156,185","152,699","150,341","148,712","147,653","144,933","142,460","139,236","135,896","132,950","129,760"
San Joaquin,Agricultural Land Subtotal,,,,"796,018","793,557","792,506","789,720","785,059","781,331","775,114","771,768","765,013","758,150","754,233","748,629","747,942","744,835"
San Joaquin, Urban and Built-Up Land,,,,"63,777","66,315","67,590","69,739","71,596","74,149","80,360","83,407","87,832","90,529","91,930","93,278","93,888","95,329"
San Joaquin, Other Land,,,,"42,618","42,540","42,268","42,905","44,297","45,473","45,480","45,777","47,982","52,141","54,661","58,925","59,002","60,602"
San Joaquin, Water Area ,,,,"10,187","10,187","10,235","10,236","11,648","11,648","11,648","11,648","11,773","11,773","11,773","11,764","11,764","11,836"
San Joaquin,Total Area Inventoried,,,,"912,600","912,599","912,599","912,600","912,600","912,601","912,602","912,600","912,600","912,593","912,597","912,596","912,596","912,602"
San Luis Obispo, Prime Farmland,"37,119","39,371","38,996","40,763","41,441","39,978","40,208","39,895","41,391","41,294","40,509","39,722","41,569","41,317","40,860","40,990","41,188"
San Luis Obispo, Farmland of Statewide Importance,"12,763","12,146","12,195","12,697","12,858","11,940","11,658","13,912","17,262","19,357","19,750","19,721","21,109","21,132","20,884","21,908","22,697"
San Luis Obispo, Unique Farmland,"24,811","27,256","27,145","27,829","28,177","26,803","26,749","30,098","34,979","38,613","35,697","36,411","38,777","39,950","39,979","43,225","45,175"
San Luis Obispo, Farmland of Local Importance,"317,349","316,529","283,189","277,106","277,443","280,779","278,987","273,867","261,911","179,797","180,410","174,552","309,081","307,326","304,401","289,309","288,127"
San Luis Obispo,Important Farmland Subtotal,"392,042","395,302","361,525","358,395","359,919","359,500","357,602","357,772","355,543","279,061","276,366","270,406","410,536","409,725","406,124","395,432","397,187"
San Luis Obispo, Grazing Land ,"648,684","639,380","667,867","665,970","663,754","662,835","662,367","661,939","661,737","749,786","750,811","742,004","1,183,042","1,181,015","1,183,035","1,189,777","1,189,168"
San Luis Obispo,Agricultural Land Subtotal,"1,040,726","1,034,682","1,029,392","1,024,365","1,023,673","1,022,335","1,019,969","1,019,711","1,017,280","1,028,847","1,027,177","1,012,410","1,593,578","1,590,740","1,589,159","1,585,209","1,586,355"
San Luis Obispo, Urban and Built-Up Land,"34,303","34,555","33,399","34,788","35,190","35,997","37,054","37,184","39,380","41,361","42,126","43,729","44,392","45,017","45,573","49,509","50,162"
San Luis Obispo, Other Land,"218,055","223,845","230,129","233,721","234,014","234,809","234,759","234,888","234,902","221,353","222,267","235,511","239,045","242,999","244,024","244,104","242,299"
San Luis Obispo, Water Area,"9,087","9,087","9,251","9,294","9,294","9,029","10,389","10,389","10,607","10,607","10,603","10,522","10,521","8,780","8,780","8,778","8,778"
San Luis Obispo,Total Area Inventoried,"1,302,171","1,302,169","1,302,171","1,302,168","1,302,171","1,302,170","1,302,171","1,302,172","1,302,169","1,302,168","1,302,173","1,302,172","1,887,536","1,887,536","1,887,536","1,887,600","1,887,594"
San Mateo, Prime Farmland,,,,"2,381","2,416","2,404","2,531","2,644","2,667","2,624","2,587","2,356","2,221","2,180","2,104","1,998","1,946"
San Mateo, Farmland of Statewide Importance,,,,219,198,198,177,177,177,205,187,185,142,145,146,146,141
San Mateo, Unique Farmland,,,,"2,443","2,645","2,621","2,739","2,963","3,066","2,656","2,659","2,387","2,182","2,272","2,194","2,101","2,149"
San Mateo, Farmland of Local Importance,,,,"4,126","4,094","4,030","4,024","3,933","3,969","3,518","3,504","3,496",937,694,677,573,716
San Mateo,Important Farmland Subtotal,,,,"9,169","9,353","9,253","9,471","9,717","9,879","9,003","8,937","8,424","5,482","5,291","5,121","4,818","4,952"
San Mateo, Grazing Land ,,,,"46,060","45,810","45,777","45,756","45,750","45,716","45,888","45,949","46,293","48,959","48,797","48,906","49,157","49,122"
San Mateo,Agricultural Land Subtotal,,,,"55,229","55,163","55,030","55,227","55,467","55,595","54,891","54,886","54,717","54,441","54,088","54,027","53,975","54,074"
San Mateo, Urban and Built-Up Land,,,,"69,528","69,696","70,135","70,158","70,830","71,133","71,160","71,283","71,691","71,872","72,511","72,565","72,569","74,361"
San Mateo, Other Land,,,,"163,010","162,907","162,601","162,387","161,418","160,986","161,664","161,547","161,309","161,405","161,119","161,126","161,176","159,089"
San Mateo, Water Area,,,,"65,684","65,684","65,684","65,679","65,735","65,735","65,734","65,734","65,734","65,734","65,734","65,734","65,733","65,929"
San Mateo,Total Area Inventoried,,,,"353,451","353,450","353,450","353,451","353,450","353,449","353,449","353,450","353,451","353,452","353,452","353,452","353,453","353,453"
Solano, Prime Farmland,"152,225","152,261","152,044","151,795","151,525","150,796","150,865","150,356","144,667","143,210","141,575","139,536","135,735","131,819","130,548","130,292","130,843"
Solano, Farmland of Statewide Importance,"12,620","12,293","12,084","12,125","11,580","11,345","11,498","11,088","10,772","7,582","7,286","7,164","7,038","6,368","6,429","6,545","6,674"
Solano, Unique Farmland,"16,112","15,972","17,211","13,641","13,469","13,380","13,504","13,969","14,495","13,736","12,012","11,037","10,526","9,274","8,958","9,222","10,346"
Solano, Farmland of Local Importance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solano,Important Farmland Subtotal,"180,957","180,526","181,339","177,561","176,574","175,521","175,867","175,413","169,934","164,528","160,873","157,737","153,299","147,461","145,935","146,059","147,863"
Solano, Grazing Land ,"220,142","218,919","208,984","205,626","203,983","204,334","202,121","199,270","201,813","201,339","201,303","202,824","204,519","209,193","210,633","210,153","208,189"
Solano,Agricultural Land Subtotal,"401,099","399,445","390,323","383,187","380,557","379,855","377,988","374,683","371,747","365,867","362,176","360,561","357,818","356,654","356,568","356,212","356,052"
Solano, Urban and Built-Up Land,"40,171","40,610","41,594","46,066","48,374","48,651","51,015","53,130","53,801","55,434","57,717","58,628","59,157","59,592","60,027","60,488","60,826"
Solano, Other Land,"90,489","91,791","99,832","102,497","102,714","101,548","101,184","102,375","107,129","111,376","112,730","113,433","112,087","112,660","111,622","111,517","109,897"
Solano, Water Area,"50,612","50,524","50,622","50,621","50,726","52,316","52,182","52,182","49,695","49,696","49,749","49,749","53,311","53,462","54,153","54,153","55,591"
Solano,Total Area Inventoried,"582,371","582,370","582,371","582,371","582,371","582,370","582,369","582,370","582,372","582,373","582,372","582,371","582,373","582,368","582,370","582,370","582,366"
Sierra Valley, Prime Farmland,"4,065","4,143","3,745","3,827","3,277","3,238","3,336","9,693","9,015","8,336","8,792","8,969","8,724","6,600","6,159","5,728","5,334"
Sierra Valley, Farmland of Statewide Importance,"5,867","5,277","4,195","4,199","4,387","4,071","4,071","4,670","4,814","6,868","7,323","7,485","7,474","6,245","6,364","5,849","5,291"
Sierra Valley, Unique Farmland,"2,382","2,250","2,511","3,066","3,184","3,134","3,146","2,645","2,639","2,872","3,777","3,812","3,793","3,170","2,669","2,545","2,422"
Sierra Valley, Farmland of Local Importance,"73,372","73,681","75,377","74,801","75,035","75,469","75,358","91,833","92,493","92,163","90,196","89,902","89,302","92,963","93,535","94,583","95,327"
Sierra Valley,Important Farmland Subtotal,"85,686","85,351","85,828","85,893","85,883","85,912","85,911","108,841","108,961","110,239","110,088","110,168","109,293","108,978","108,727","108,705","108,374"
Sierra Valley, Grazing Land ,"108,922","108,982","108,289","108,103","108,087","108,066","108,065","80,705","80,099","78,695","78,834","78,642","79,500","79,576","79,820","79,750","79,982"
Sierra Valley,Agricultural Land Subtotal,"194,608","194,333","194,117","193,996","193,970","193,978","193,976","189,546","189,060","188,934","188,922","188,810","188,793","188,554","188,547","188,455","188,356"
Sierra Valley, Urban and Built-Up Land,709,679,711,719,745,745,745,745,832,811,811,990,999,"1,009","1,020","1,021","1,034"
Sierra Valley, Other Land,"2,422","2,729","2,863","2,975","2,975","2,975","2,975","7,406","7,803","7,950","7,963","7,896","7,903","8,165","8,161","8,300","8,383"
Sierra Valley, Water Area,32,32,80,80,80,74,75,75,75,75,75,75,75,45,45,0,0
Sierra Valley,Total Area Inventoried,"197,771","197,773","197,771","197,770","197,770","197,772","197,771","197,772","197,770","197,770","197,771","197,771","197,770","197,773","197,773","197,776","197,773"
Stanislaus, Prime Farmland,,,,,,,,,,,"262,045","256,605","256,166","253,434","251,722","252,700","249,967"
Stanislaus, Farmland of Statewide Importance,,,,,,,,,,,"29,747","29,925","31,448","31,475","31,763","32,182","33,172"
Stanislaus, Unique Farmland,,,,,,,,,,,"70,137","75,444","81,367","87,524","95,187","105,630","116,210"
Stanislaus, Farmland of Local Importance,,,,,,,,,,,"35,050","33,706","31,160","31,366","31,332","28,144","26,029"
Stanislaus,Important Farmland Subtotal,,,,,,,,,,,"396,979","395,680","400,141","403,799","410,004","418,656","425,378"
Stanislaus, Grazing Land ,,,,,,,,,,,"446,624","441,436","434,137","429,545","422,452","414,012","404,405"
Stanislaus,Agricultural Land Subtotal,,,,,,,,,,,"843,603","837,116","834,278","833,344","832,456","832,668","829,783"
Stanislaus, Urban and Built-Up Land,,,,,,,,,,,"61,675","63,192","63,971","64,529","64,823","65,017","66,230"
Stanislaus, Other Land,,,,,,,,,,,"57,423","62,394","64,456","64,830","65,428","65,022","66,680"
Stanislaus, Water Area,,,,,,,,,,,"7,467","7,467","7,466","7,465","7,465","7,465","7,481"
Stanislaus,Total Area Inventoried,,,,,,,,,,,"970,168","970,169","970,171","970,168","970,172","970,172","970,174"
Sutter, Prime Farmland,,,"170,907","170,754","170,714","170,554","170,171","170,229","168,493","166,019","166,202","165,817","165,315","162,673","161,503","161,019","161,105"
Sutter, Farmland of Statewide Importance,,,"116,559","115,773","114,777","114,027","113,441","113,680","111,505","109,760","107,742","107,194","106,597","105,395","104,576","104,003","103,981"
Sutter, Unique Farmland,,,"24,147","24,171","23,107","23,354","23,252","22,235","21,178","19,917","19,480","19,244","19,156","17,753","16,035","16,087","16,093"
Sutter, Farmland of Local Importance,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sutter,Important Farmland Subtotal,,,"311,613","310,698","308,598","307,935","306,864","306,144","301,176","295,696","293,424","292,255","291,068","285,821","282,114","281,109","281,179"
Sutter, Grazing Land ,,,"51,188","51,590","50,224","49,734","49,478","49,821","50,958","50,317","50,636","51,518","52,571","53,538","53,232","54,327","54,460"
Sutter,Agricultural Land Subtotal,,,"362,801","362,288","358,822","357,669","356,342","355,965","352,134","346,013","344,060","343,773","343,639","339,359","335,346","335,436","335,639"
Sutter, Urban and Built-Up Land,,,"8,533","9,010","9,948","10,354","10,618","10,669","11,362","11,850","12,582","12,928","13,230","13,559","13,611","13,607","13,617"
Sutter, Other Land,,,"16,327","16,333","18,861","19,610","20,718","21,044","24,060","29,693","30,914","30,855","30,562","34,514","38,475","38,386","38,171"
Sutter, Water Area,,,"1,779","1,808","1,808","1,807","1,762","1,762","1,883","1,883","1,883","1,883","1,883","1,883","1,883","1,883","1,883"
Sutter,Total Area Inventoried,,,"389,440","389,439","389,439","389,440","389,440","389,440","389,439","389,439","389,439","389,439","389,314","389,315","389,315","389,312","389,310"
Tehama, Prime Farmland,"81,484","81,657","82,511","82,584","83,741","79,698","77,153","77,603","73,770","70,339","64,788","63,707","63,038","62,176","62,428","62,447","63,444"
Tehama, Farmland of Statewide Importance,"20,951","20,977","21,076","21,144","21,548","20,004","18,651","19,436","19,762","19,565","17,336","17,284","17,231","17,303","17,669","18,693","19,716"
Tehama, Unique Farmland,"7,904","7,855","8,263","9,321","11,123","12,787","19,088","19,492","18,487","20,244","18,773","18,083","18,054","19,566","20,289","20,602","22,063"
Tehama, Farmland of Local Importance,"174,803","122,503","123,517","124,461","122,792","127,719","131,226","129,700","132,763","127,341","131,842","132,437","132,608","132,548","132,177","130,271","127,403"
Tehama,Important Farmland Subtotal,"285,142","232,992","235,367","237,510","239,204","240,208","246,118","246,231","244,782","237,489","232,739","231,511","230,931","231,593","232,563","232,013","232,626"
Tehama, Grazing Land,"669,212","720,880","718,217","716,235","714,376","712,634","706,585","706,332","706,027","1,549,716","1,549,708","1,550,096","1,549,800","1,547,951","1,546,847","1,545,447","1,545,803"
Tehama,Agricultural Land Subtotal,"954,354","953,872","953,584","953,745","953,580","952,842","952,703","952,563","950,809","1,787,205","1,782,447","1,781,607","1,780,731","1,779,544","1,779,410","1,777,460","1,778,429"
Tehama, Urban and Built-Up Land,"9,406","9,445","9,507","9,811","10,173","10,696","10,758","10,792","11,458","11,556","12,939","13,255","13,633","13,806","13,870","13,918","14,052"
Tehama, Other Land,"869,557","869,894","870,085","869,626","869,582","869,802","869,901","870,007","871,006","34,509","37,883","38,450","38,948","39,964","40,023","42,637","41,536"
Tehama, Water Area,"6,177","6,284","6,318","6,313","6,160","6,155","6,133","6,133","6,221","6,224","6,223","6,182","6,182","6,182","6,193","5,504","5,503"
Tehama,Total Area Inventoried,"1,839,494","1,839,495","1,839,494","1,839,495","1,839,495","1,839,495","1,839,495","1,839,495","1,839,494","1,839,494","1,839,492","1,839,494","1,839,494","1,839,496","1,839,496","1,839,519","1,839,520"
Tulare, Prime Farmland,,,,,,,,"396,125","393,029","387,620","384,388","379,760","375,119","370,251","368,527","366,414","366,136"
Tulare, Farmland of Statewide Importance,,,,,,,,"357,221","350,589","345,763","339,579","332,158","327,204","323,598","321,296","320,887","322,355"
Tulare, Unique Farmland,,,,,,,,"11,792","11,723","12,746","12,527","12,218","11,919","11,594","11,474","11,421","11,691"
Tulare, Farmland of Local Importance,,,,,,,,"110,042","125,263","126,815","137,436","143,826","150,193","154,549","158,823","160,450","157,937"
Tulare,Important Farmland Subtotal,,,,,,,,"875,180","880,604","872,944","873,930","867,962","864,435","859,992","860,120","859,172","858,119"
Tulare, Grazing Land ,,,,,,,,"439,955","434,047","440,550","440,620","440,135","439,851","440,042","439,940","439,962","439,934"
Tulare,Agricultural Land Subtotal,,,,,,,,"1,315,135","1,314,651","1,313,494","1,314,550","1,308,097","1,304,286","1,300,034","1,300,060","1,299,134","1,298,053"
Tulare, Urban and Built-Up Land,,,,,,,,"48,500","49,380","52,213","53,927","55,886","57,947","59,944","60,818","62,950","64,620"
Tulare, Other Land,,,,,,,,"217,607","217,182","215,506","212,740","217,228","218,980","221,231","220,331","219,184","218,593"
Tulare, Water Area,,,,,,,,"4,629","4,656","4,656","4,656","4,656","4,656","4,656","4,656","4,656","4,656"
Tulare,Total Area Inventoried,,,,,,,,"1,585,871","1,585,869","1,585,869","1,585,873","1,585,867","1,585,869","1,585,865","1,585,865","1,585,924","1,585,922"
Ventura, Prime Farmland,"57,138","55,587","54,246","53,574","53,284","53,026","52,141","51,818","48,573","47,877","47,192","45,431","43,791","42,422","41,570","41,143","40,976"
Ventura, Farmland of Statewide Importance,"39,917","39,327","38,779","38,278","38,082","37,811","37,611","37,700","35,792","35,204","34,978","34,230","33,841","33,484","33,337","33,045","32,992"
Ventura, Unique Farmland,"22,978","22,626","22,326","22,507","22,454","22,516","22,437","22,643","28,103","27,982","29,074","28,583","28,643","28,792","28,725","28,700","28,950"
Ventura, Farmland of Local Importance,"12,355","12,340","12,139","11,691","11,440","11,415","11,148","11,076","19,044","18,042","16,816","16,716","16,218","14,989","15,168","15,560","15,590"
Ventura,Important Farmland Subtotal,"132,388","129,880","127,490","126,050","125,260","124,768","123,337","123,237","131,512","129,105","128,060","124,960","122,493","119,687","118,800","118,448","118,508"
Ventura, Grazing Land ,"212,779","212,160","211,573","210,106","209,668","209,086","208,752","207,852","197,973","198,372","198,087","199,002","195,674","197,278","197,866","197,796","197,859"
Ventura,Agricultural Land Subtotal,"345,167","342,040","339,063","336,156","334,928","333,854","332,089","331,089","329,485","327,477","326,147","323,962","318,167","316,965","316,666","316,244","316,367"
Ventura, Urban and Built-Up Land,"77,613","80,657","83,603","87,859","89,035","91,541","92,883","95,522","97,236","99,789","101,841","102,874","104,280","105,233","105,461","105,671","105,966"
Ventura, Other Land,"130,036","130,118","130,272","128,922","128,974","127,524","127,041","125,403","125,291","124,746","124,021","125,174","129,563","129,816","129,887","130,104","129,688"
Ventura, Water Area,"3,137","3,137","3,015","3,015","3,015","3,033","3,939","3,939","3,939","3,939","3,939","3,939","3,939","3,939","3,939","3,939","3,938"
Ventura,Total Area Inventoried,"555,953","555,952","555,953","555,952","555,952","555,952","555,952","555,953","555,951","555,951","555,948","555,949","555,949","555,953","555,953","555,958","555,959"
Yolo, Prime Farmland,"272,952","272,845","274,876","274,196","271,963","270,403","269,149","265,915","261,461","261,648","259,637","257,893","255,193","252,081","250,693","250,345","250,558"
Yolo, Farmland of Statewide Importance,"23,758","24,171","24,638","23,562","19,158","18,740","18,805","18,202","18,031","18,007","18,123","16,988","16,793","16,412","17,298","18,861","19,529"
Yolo, Unique Farmland,"56,883","57,239","59,595","59,421","60,494","60,199","59,699","55,243","54,533","54,586","53,157","50,198","45,750","43,629","42,403","44,604","46,095"
Yolo, Farmland of Local Importance,"94,324","94,426","74,782","74,470","76,420","73,382","73,118","74,303","75,771","67,546","66,619","65,171","60,345","62,413","58,137","51,725","49,671"
Yolo,Important Farmland Subtotal,"447,917","448,681","433,891","431,649","428,035","422,724","420,771","413,663","409,796","401,787","397,536","390,250","378,081","374,535","368,531","365,535","365,853"
Yolo, Grazing Land ,"121,876","121,694","135,655","135,953","138,047","142,570","143,261","143,385","143,365","143,263","145,228","150,340","157,963","160,449","163,640","166,367","166,413"
Yolo,Agricultural Land Subtotal,"569,793","570,375","569,546","567,602","566,082","565,294","564,032","557,048","553,161","545,050","542,764","540,590","536,044","534,984","532,171","531,902","532,266"
Yolo, Urban and Built-Up Land,"20,855","21,147","21,541","22,471","23,137","23,861","24,472","25,586","25,957","27,216","28,512","29,341","30,225","30,536","30,835","31,049","31,348"
Yolo, Other Land,"55,890","55,026","55,550","56,430","56,807","56,927","57,577","63,446","66,513","73,365","74,356","75,706","79,370","80,127","82,639","82,694","82,036"
Yolo, Water Area,"6,913","6,903","6,814","6,949","7,425","7,371","7,371","7,371","7,821","7,821","7,821","7,815","7,814","7,804","7,804","7,804","7,804"
Yolo,Total Area Inventoried,"653,451","653,451","653,451","653,452","653,451","653,453","653,452","653,451","653,452","653,452","653,453","653,452","653,453","653,451","653,449","653,449","653,454"
Yuba, Prime Farmland,,,"51,624","51,880","45,564","45,919","46,491","45,785","44,484","43,618","42,676","41,993","41,371","39,484","39,947","39,070","39,324"
Yuba, Farmland of Statewide Importance,,,0,0,"10,923","10,973","11,001","11,032","10,991","11,293","11,094","11,020","10,975","10,829","10,854","10,769","10,882"
Yuba, Unique Farmland,,,"41,544","41,615","37,284","37,527","37,845","36,928","34,698","34,267","33,109","32,371","32,606","32,223","32,395","32,999","33,356"
Yuba, Farmland of Local Importance,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuba,Important Farmland Subtotal,,,"93,168","93,495","93,771","94,419","95,337","93,745","90,173","89,178","86,879","85,384","84,952","82,536","83,196","82,838","83,562"
Yuba, Grazing Land ,,,"145,695","145,133","144,997","144,198","142,225","143,224","144,519","144,502","143,533","142,727","141,639","141,510","140,782","140,508","140,185"
Yuba,Agricultural Land Subtotal,,,"238,863","238,628","238,768","238,617","237,562","236,969","234,692","233,680","230,412","228,111","226,591","224,046","223,978","223,346","223,747"
Yuba, Urban and Built-Up Land,,,"10,609","10,725","10,838","10,952","11,110","11,180","11,544","11,837","12,082","13,083","13,669","14,025","14,065","14,181","14,256"
Yuba, Other Land,,,"155,757","155,874","155,622","155,659","156,953","157,476","159,292","160,011","163,034","163,993","165,126","167,313","167,341","167,862","167,329"
Yuba, Water Area,,,"6,590","6,590","6,590","6,590","6,192","6,192","6,289","6,289","6,289","6,629","6,629","6,629","6,629","6,629","6,685"
Yuba,Total Area Inventoried,,,"411,819","411,817","411,818","411,818","411,817","411,817","411,817","411,817","411,817","411,816","412,015","412,013","412,013","412,018","412,017"
Sonoma, Prime Farmland,"33,930","34,088","33,570","33,794","34,026","34,248","34,269","35,687","37,035","34,789","33,804","32,258","30,814","29,938","29,882","29,899","29,858"
Sonoma, Farmland of Statewide Importance,"11,318","13,225","13,101","13,179","15,145","15,549","15,684","16,778","18,921","19,356","18,623","17,735","17,252","17,192","17,213","17,203","17,482"
Sonoma, Unique Farmland,"15,797","18,580","19,719","20,721","21,809","22,087","22,163","25,037","30,289","33,787","33,299","32,180","32,106","32,924","33,079","33,398","34,043"
Sonoma, Farmland of Local Importance,"112,095","106,844","104,517","103,211","97,251","96,856","96,993","92,867","87,661","74,076","76,384","78,169","80,045","80,194","80,741","80,940","79,915"
Sonoma,Important Farmland Subtotal,"173,140","172,737","170,907","170,905","168,231","168,740","169,109","170,369","173,906","162,008","162,110","160,342","160,217","160,248","160,915","161,440","161,298"
Sonoma, Grazing Land ,"454,851","449,083","446,202","445,236","442,880","442,335","441,852","438,636","432,724","421,166","420,322","420,022","419,004","417,772","417,091","416,291","415,429"
Sonoma,Agricultural Land Subtotal,"627,991","621,820","617,109","616,141","611,111","611,075","610,961","609,005","606,630","583,174","582,432","580,364","579,221","578,020","578,006","577,731","576,727"
Sonoma, Urban and Built-Up Land,"58,584","55,961","58,993","60,322","62,943","63,250","64,067","66,178","70,137","72,847","72,935","74,231","74,741","75,213","75,258","75,602","75,805"
Sonoma, Other Land,"326,421","330,902","332,585","332,114","334,520","334,208","333,953","333,663","331,937","352,685","353,334","353,931","354,589","355,314","355,296","355,235","357,053"
Sonoma, Water Area ,"13,062","17,376","17,374","17,482","17,485","17,528","17,079","17,214","17,354","17,354","17,354","17,533","17,533","17,533","17,520","17,520","16,507"
Sonoma,Total Area Inventoried,"1,026,058","1,026,059","1,026,061","1,026,059","1,026,059","1,026,061","1,026,060","1,026,060","1,026,058","1,026,060","1,026,055","1,026,059","1,026,084","1,026,080","1,026,080","1,026,088","1,026,092"
