county,class,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016
Los Angeles,Agricultural Land Subtotal,"290,640","287,577","286,090","275,269","275,644","275,236","274,761","275,410","277,412","275,851","272,876","272,363","271,478","271,289","271,162","268,352","266,427"
Los Angeles, Urban and Built-Up Land,"122,481","129,145","135,899","148,601","152,544","154,568","155,759","159,533","162,493","160,678","163,434","167,985","170,864","174,888","175,594","178,999","182,442"
Los Angeles, Other Land,"661,750","657,971","652,673","650,221","645,905","644,212","643,496","639,104","634,131","637,509","637,726","633,689","678,251","674,570","673,991","673,393","671,873"
Los Angeles, Water Area,"2,635","2,810","2,842","3,412","3,412","3,487","3,487","3,457","3,468","3,468","3,468","3,468","3,468","3,318","3,318","3,318","3,318"
Los Angeles,Total Area Inventoried ,"1,077,506","1,077,503","1,077,504","1,077,503","1,077,505","1,077,503","1,077,503","1,077,504","1,077,504","1,077,506","1,077,504","1,077,505","1,124,061","1,124,065","1,124,065","1,124,062","1,124,060"
Madera, Prime Farmland,"103,630","103,655","103,859","103,728","103,428","103,083","102,531","102,125","102,051","100,676","99,562","98,684","97,491","97,094","97,521","97,962","98,500"
Madera, Farmland of Statewide Importance,"86,456","86,477","86,433","86,333","85,955","85,792","85,709","85,397","85,078","84,661","86,041","85,362","85,136","84,754","84,890","85,056","85,206"
Madera, Unique Farmland,"154,903","155,266","156,149","156,186","156,441","156,271","156,434","160,891","163,591","164,587","163,887","163,978","163,973","165,932","173,017","176,042","180,291"
Madera, Farmland of Local Importance,"43,013","40,330","40,266","39,509","37,978","36,600","37,002","30,576","24,042","21,062","18,797","17,413","16,143","13,799","11,116","10,315","8,751"
Madera,Important Farmland Subtotal,"388,002","385,728","386,707","385,756","383,802","381,746","381,676","378,989","374,762","370,986","368,287","365,437","362,743","361,579","366,544","369,375","372,748"
Madera, Grazing Land ,"406,090","408,604","404,260","403,939","404,070","402,963","401,701","399,229","401,592","401,227","399,291","399,726","399,501","400,604","392,902","389,942","386,729"
Madera,Agricultural Land Subtotal,"794,092","794,332","790,967","789,695","787,872","784,709","783,377","778,218","776,354","772,213","767,578","765,163","762,244","762,183","759,446","759,317","759,477"
Madera, Urban and Built-Up Land,"19,707","18,615","18,980","19,822","20,830","22,342","22,595","22,242","22,904","24,051","24,975","26,015","27,010","27,213","28,448","28,730","29,175"
Madera, Other Land,"41,286","42,137","45,250","45,680","46,508","48,159","49,155","54,667","55,723","58,718","62,423","63,812","65,734","65,591","67,097","66,978","66,368"
Madera, Water Area,"5,959","5,959","5,846","5,846","5,833","5,833","5,918","5,918","6,063","6,063","6,063","6,055","6,055","6,056","6,052","6,051","6,051"
Madera,Total Area Inventoried ,"861,044","861,043","861,043","861,043","861,043","861,043","861,045","861,045","861,044","861,045","861,039","861,045","861,043","861,043","861,043","861,076","861,071"
Marin, Prime Farmland,180,180,168,168,168,168,168,14,14,7,7,7,7,0,0,0,1
Marin, Farmland of Statewide Importance,311,311,318,325,325,325,325,376,392,433,444,459,461,233,153,141,137
Marin, Unique Farmland,106,106,109,124,124,124,124,56,167,255,256,302,299,285,269,280,279
Marin, Farmland of Local Importance,"72,885","72,758","70,119","68,234","67,971","67,894","67,854","67,029","67,100","66,472","65,751","65,602","65,154","63,298","63,477","63,345","62,861"
Marin,Important Farmland Subtotal,"73,482","73,355","70,714","68,851","68,588","68,511","68,471","67,475","67,673","67,167","66,458","66,370","65,921","63,816","63,899","63,766","63,278"
Marin, Grazing Land ,"94,397","93,905","90,988","92,342","92,212","92,031","92,031","91,847","90,304","90,242","89,938","89,514","89,556","89,255","89,218","88,806","89,454"
Marin,Agricultural Land Subtotal,"167,879","167,260","161,702","161,193","160,800","160,542","160,502","159,322","157,977","157,409","156,396","155,884","155,477","153,071","153,117","152,572","152,732"
Marin, Urban and Built-Up Land,"37,706","37,953","38,628","38,965","39,432","39,640","39,827","40,240","40,581","41,480","41,904","42,069","42,181","42,342","42,354","41,859","41,609"
Marin, Other Land,"128,944","129,244","134,157","134,342","134,269","134,112","133,965","134,424","135,388","135,054","135,645","135,992","136,185","138,429","138,371","139,484","138,270"
Marin, Water Area,"44,132","44,204","44,173","44,161","44,161","44,367","44,367","44,675","44,715","44,715","44,715","44,715","44,819","44,819","44,819","44,748","46,051"
Marin,Total Area Inventoried,"378,661","378,661","378,660","378,661","378,662","378,661","378,661","378,661","378,661","378,658","378,660","378,660","378,662","378,661","378,661","378,663","378,662"
Mendocino, Prime Farmland,,,,,,,,,,,,"20,689","21,107","21,347","21,239","19,208","18,130"
Mendocino, Farmland of Statewide Importance,,,,,,,,,,,,"1,166","1,365","1,375","1,361","1,228","1,289"
Mendocino, Unique Farmland,,,,,,,,,,,,"6,969","7,219","7,370","7,358","7,214","7,625"
Mendocino, Farmland of Local Importance,,,,,,,,,,,,0,0,0,0,0,0
Mendocino,Important Farmland Subtotal,,,,,,,,,,,,"28,824","29,691","30,092","29,958","27,650","27,044"
Mendocino, Grazing Land ,,,,,,,,,,,,"1,928,254","1,927,016","1,925,803","1,925,809","1,928,004","1,928,566"
Mendocino,Agricultural Land Subtotal,,,,,,,,,,,,"1,957,078","1,956,707","1,955,895","1,955,767","1,955,654","1,955,610"
Mendocino, Urban and Built-Up Land,,,,,,,,,,,,"19,054","19,194","19,456","19,492","19,506","19,660"
Mendocino, Other Land,,,,,,,,,,,,"66,462","66,808","67,361","67,453","67,514","67,404"
Mendocino, Water Area,,,,,,,,,,,,"2,135","2,135","2,135","2,135","2,135","2,135"
Mendocino,Total Area Inventoried,,,,,,,,,,,,"2,044,729","2,044,844","2,044,847","2,044,847","2,044,809","2,044,809"
Merced, Prime Farmland,,,,,"288,920","288,477","288,415","289,057","287,160","283,158","276,575","272,095","270,641","271,100","271,812","271,912","269,243"
Merced, Farmland of Statewide Importance,,,,,"161,792","161,189","159,788","160,066","157,936","159,022","155,856","153,249","150,875","151,337","153,103","154,502","154,209"
Merced, Unique Farmland,,,,,"95,096","94,370","93,580","96,593","96,355","103,008","103,133","104,418","103,990","109,028","110,698","112,301","115,235"
Merced, Farmland of Local Importance,,,,,"52,782","49,786","51,241","47,929","47,621","42,818","53,762","59,851","67,985","65,057","62,925","62,225","61,671"
Merced,Important Farmland Subtotal,,,,,"598,590","593,822","593,024","593,645","589,072","588,006","589,326","589,613","593,491","596,522","598,538","600,940","600,358"
Merced, Grazing Land ,,,,,"581,798","585,110","583,709","580,934","581,729","578,026","573,629","569,829","567,392","562,461","560,104","556,966","552,632"
Merced,Agricultural Land Subtotal,,,,,"1,180,388","1,178,932","1,176,733","1,174,579","1,170,801","1,166,032","1,162,955","1,159,442","1,160,883","1,158,983","1,158,642","1,157,906","1,152,990"
Merced, Urban and Built-Up Land,,,,,"28,326","29,309","30,183","30,559","31,817","33,091","34,944","36,769","37,419","38,376","38,736","39,183","40,340"
Merced, Other Land,,,,,"35,759","36,264","37,526","39,304","41,832","45,321","46,548","48,351","50,456","51,395","51,561","51,871","55,771"
Merced, Water Area,,,,,"16,946","16,914","16,978","16,978","16,970","16,970","16,970","16,859","16,859","16,859","16,674","16,674","16,531"
Merced,Total Area Inventoried,,,,,"1,261,419","1,261,419","1,261,420","1,261,420","1,261,420","1,261,414","1,261,417","1,261,421","1,265,617","1,265,613","1,265,613","1,265,634","1,265,632"
