SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionTypeID
Contra Costa,Management: Forest Clearcut,Forest Harvest,2009,2009,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2010,2010,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2011,2011,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2012,2012,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2013,2013,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2014,2014,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2015,2015,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2016,2016,0,Iteration and Timestep,NA,NA
Del Norte,Management: Forest Clearcut,Forest Harvest,1999,1999,200,Iteration and Timestep,100,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2000,2000,500,Iteration and Timestep,250,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2001,2001,200,Iteration and Timestep,100,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2002,2002,500,Iteration and Timestep,250,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2003,2003,0,Iteration and Timestep,NA,NA
Del Norte,Management: Forest Clearcut,Forest Harvest,2004,2004,200,Iteration and Timestep,100,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2005,2005,100,Iteration and Timestep,50,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2006,2006,200,Iteration and Timestep,100,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2007,2007,100,Iteration and Timestep,50,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2008,2008,200,Iteration and Timestep,100,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2009,2009,100,Iteration and Timestep,50,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2010,2010,100,Iteration and Timestep,50,Normal
Del Norte,Management: Forest Clearcut,Forest Harvest,2011,2011,0,Iteration and Timestep,NA,NA
Del Norte,Management: Forest Clearcut,Forest Harvest,2012,2012,0,Iteration and Timestep,NA,NA
Del Norte,Management: Forest Clearcut,Forest Harvest,2013,2013,0,Iteration and Timestep,NA,NA
Del Norte,Management: Forest Clearcut,Forest Harvest,2014,2014,0,Iteration and Timestep,NA,NA
Del Norte,Management: Forest Clearcut,Forest Harvest,2015,2015,0,Iteration and Timestep,NA,NA
Del Norte,Management: Forest Clearcut,Forest Harvest,2016,2016,0,Iteration and Timestep,NA,NA
El Dorado,Management: Forest Clearcut,Forest Harvest,1999,1999,0,Iteration and Timestep,NA,NA
El Dorado,Management: Forest Clearcut,Forest Harvest,2000,2000,300,Iteration and Timestep,150,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2001,2001,100,Iteration and Timestep,50,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2002,2002,300,Iteration and Timestep,150,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2003,2003,700,Iteration and Timestep,350,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2004,2004,1400,Iteration and Timestep,700,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2005,2005,1000,Iteration and Timestep,500,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2006,2006,1200,Iteration and Timestep,600,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2007,2007,700,Iteration and Timestep,350,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2008,2008,500,Iteration and Timestep,250,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2009,2009,400,Iteration and Timestep,200,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2010,2010,100,Iteration and Timestep,50,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2011,2011,100,Iteration and Timestep,50,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2012,2012,0,Iteration and Timestep,NA,NA
El Dorado,Management: Forest Clearcut,Forest Harvest,2013,2013,200,Iteration and Timestep,100,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2014,2014,100,Iteration and Timestep,50,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2015,2015,400,Iteration and Timestep,200,Normal
El Dorado,Management: Forest Clearcut,Forest Harvest,2016,2016,100,Iteration and Timestep,50,Normal
Fresno,Management: Forest Clearcut,Forest Harvest,1999,1999,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2000,2000,100,Iteration and Timestep,50,Normal
Fresno,Management: Forest Clearcut,Forest Harvest,2001,2001,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2002,2002,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2003,2003,200,Iteration and Timestep,100,Normal
Fresno,Management: Forest Clearcut,Forest Harvest,2004,2004,200,Iteration and Timestep,100,Normal
Fresno,Management: Forest Clearcut,Forest Harvest,2005,2005,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2006,2006,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2007,2007,100,Iteration and Timestep,50,Normal
Fresno,Management: Forest Clearcut,Forest Harvest,2008,2008,100,Iteration and Timestep,50,Normal
Fresno,Management: Forest Clearcut,Forest Harvest,2009,2009,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2010,2010,100,Iteration and Timestep,50,Normal
Fresno,Management: Forest Clearcut,Forest Harvest,2011,2011,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2012,2012,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2013,2013,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2014,2014,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2015,2015,0,Iteration and Timestep,NA,NA
Fresno,Management: Forest Clearcut,Forest Harvest,2016,2016,500,Iteration and Timestep,250,Normal
Glenn,Management: Forest Clearcut,Forest Harvest,1999,1999,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2000,2000,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2001,2001,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2002,2002,300,Iteration and Timestep,150,Normal
Glenn,Management: Forest Clearcut,Forest Harvest,2003,2003,400,Iteration and Timestep,200,Normal
Glenn,Management: Forest Clearcut,Forest Harvest,2004,2004,100,Iteration and Timestep,50,Normal
Glenn,Management: Forest Clearcut,Forest Harvest,2005,2005,300,Iteration and Timestep,150,Normal
Glenn,Management: Forest Clearcut,Forest Harvest,2006,2006,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2007,2007,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2008,2008,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2009,2009,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2010,2010,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2011,2011,0,Iteration and Timestep,NA,NA
