StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2000,2000,300,Iteration and Timestep,150
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2001,2001,200,Iteration and Timestep,100
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2002,2002,59300,Iteration and Timestep,29650
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2003,2003,189800,Iteration and Timestep,94900
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2004,2004,95300,Iteration and Timestep,47650
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2005,2005,40700,Iteration and Timestep,20350
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2006,2006,7500,Iteration and Timestep,3750
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2007,2007,4700,Iteration and Timestep,2350
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2008,2008,2500,Iteration and Timestep,1250
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2009,2009,3400,Iteration and Timestep,1700
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2010,2010,8000,Iteration and Timestep,4000
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2011,2011,18200,Iteration and Timestep,9100
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2012,2012,13100,Iteration and Timestep,6550
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2013,2013,14800,Iteration and Timestep,7400
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2014,2014,21000,Iteration and Timestep,10500
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2015,2015,17400,Iteration and Timestep,8700
Eastern Cascades Slopes and Foothills,Insect: Low Severity,Insect,2016,2016,42100,Iteration and Timestep,21050
Central Basin and Range,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central Basin and Range,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central Basin and Range,Insect: Low Severity,Insect,2000,2000,0,Iteration and Timestep,0
Central Basin and Range,Insect: Low Severity,Insect,2001,2001,0,Iteration and Timestep,0
Central Basin and Range,Insect: Low Severity,Insect,2002,2002,0,Iteration and Timestep,0
Central Basin and Range,Insect: Low Severity,Insect,2003,2003,37600,Iteration and Timestep,18800
Central Basin and Range,Insect: Low Severity,Insect,2004,2004,10600,Iteration and Timestep,5300
Central Basin and Range,Insect: Low Severity,Insect,2005,2005,0,Iteration and Timestep,0
Central Basin and Range,Insect: Low Severity,Insect,2006,2006,0,Iteration and Timestep,0
Central Basin and Range,Insect: Low Severity,Insect,2007,2007,3000,Iteration and Timestep,1500
Central Basin and Range,Insect: Low Severity,Insect,2008,2008,500,Iteration and Timestep,250
Central Basin and Range,Insect: Low Severity,Insect,2009,2009,200,Iteration and Timestep,100
Central Basin and Range,Insect: Low Severity,Insect,2010,2010,0,Iteration and Timestep,0
Central Basin and Range,Insect: Low Severity,Insect,2011,2011,0,Iteration and Timestep,0
Central Basin and Range,Insect: Low Severity,Insect,2012,2012,900,Iteration and Timestep,450
Central Basin and Range,Insect: Low Severity,Insect,2013,2013,800,Iteration and Timestep,400
Central Basin and Range,Insect: Low Severity,Insect,2014,2014,2100,Iteration and Timestep,1050
Central Basin and Range,Insect: Low Severity,Insect,2015,2015,100,Iteration and Timestep,50
Central Basin and Range,Insect: Low Severity,Insect,2016,2016,1300,Iteration and Timestep,650
Mojave Basin and Range,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2000,2000,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2001,2001,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2002,2002,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2003,2003,10600,Iteration and Timestep,5300
Mojave Basin and Range,Insect: Low Severity,Insect,2004,2004,300,Iteration and Timestep,150
Mojave Basin and Range,Insect: Low Severity,Insect,2005,2005,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2006,2006,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2007,2007,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2008,2008,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2009,2009,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2010,2010,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2011,2011,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2012,2012,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2013,2013,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2014,2014,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Low Severity,Insect,2015,2015,500,Iteration and Timestep,250
Mojave Basin and Range,Insect: Low Severity,Insect,2016,2016,0,Iteration and Timestep,0
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2000,2000,1600,Iteration and Timestep,800
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2001,2001,3500,Iteration and Timestep,1750
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2002,2002,31400,Iteration and Timestep,15700
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2003,2003,24600,Iteration and Timestep,12300
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2004,2004,18500,Iteration and Timestep,9250
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2005,2005,18300,Iteration and Timestep,9150
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2006,2006,11700,Iteration and Timestep,5850
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2007,2007,7800,Iteration and Timestep,3900
