SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Colusa,Management: Forest Selection,Forest Harvest,2006,2006,100,Iteration and Timestep,50
Colusa,Management: Forest Selection,Forest Harvest,2007,2007,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2008,2008,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2009,2009,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2010,2010,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2011,2011,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2012,2012,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2013,2013,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2014,2014,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2015,2015,200,Iteration and Timestep,100
Colusa,Management: Forest Selection,Forest Harvest,2016,2016,200,Iteration and Timestep,100
Contra Costa,Management: Forest Selection,Forest Harvest,1999,1999,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2000,2000,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2001,2001,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2002,2002,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2003,2003,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2004,2004,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2005,2005,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2006,2006,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2007,2007,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2008,2008,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2009,2009,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2010,2010,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2011,2011,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2012,2012,0,Iteration and Timestep,0
Contra Costa,Management: Forest Selection,Forest Harvest,2013,2013,0,Iteration and Timestep,0
