SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax
Kern,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Kern,Intensification: Low to High,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,23.09401076758503,0,40
Kern,Intensification: Medium to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Kings,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Kings,Intensification: Open to Medium,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
Kings,Intensification: Open to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Kings,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Kings,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Kings,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Lake,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Lake,Intensification: Open to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Lake,Intensification: Open to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Lake,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Lake,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Lake,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Lassen,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Lassen,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Lassen,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Lassen,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Lassen,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Lassen,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Los Angeles,Intensification: Open to Low,Intensification,2001,2016,80,Normal,Iteration and Timestep,52.91502622129182,40,140
Los Angeles,Intensification: Open to Medium,Intensification,2001,2016,240,Normal,Iteration and Timestep,105.83005244258364,120,320
Los Angeles,Intensification: Open to High,Intensification,2001,2016,40,Normal,Iteration and Timestep,20,20,60
Los Angeles,Intensification: Low to Medium,Intensification,2001,2016,33.333333333333336,Normal,Iteration and Timestep,30.550504633038933,0,60
Los Angeles,Intensification: Low to High,Intensification,2001,2016,113.33333333333334,Normal,Iteration and Timestep,98.65765724632493,0,180
