StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionTypeID
Central California Valley,Fire: Low Severity,Fire,2013,2013,2000,Iteration and Timestep,1000,Normal
Central California Valley,Fire: Low Severity,Fire,2014,2014,600,Iteration and Timestep,300,Normal
Central California Valley,Fire: Low Severity,Fire,2015,2015,2700,Iteration and Timestep,1350,Normal
Central California Valley,Fire: Low Severity,Fire,2016,2016,1500,Iteration and Timestep,750,Normal
Southern California Mountains,Fire: Low Severity,Fire,1999,1999,13700,Iteration and Timestep,6850,Normal
Southern California Mountains,Fire: Low Severity,Fire,2000,2000,2100,Iteration and Timestep,1050,Normal
Southern California Mountains,Fire: Low Severity,Fire,2001,2001,1400,Iteration and Timestep,700,Normal
Southern California Mountains,Fire: Low Severity,Fire,2002,2002,35600,Iteration and Timestep,17800,Normal
Southern California Mountains,Fire: Low Severity,Fire,2003,2003,23600,Iteration and Timestep,11800,Normal
Southern California Mountains,Fire: Low Severity,Fire,2004,2004,10500,Iteration and Timestep,5250,Normal
Southern California Mountains,Fire: Low Severity,Fire,2005,2005,2500,Iteration and Timestep,1250,Normal
Southern California Mountains,Fire: Low Severity,Fire,2006,2006,46200,Iteration and Timestep,23100,Normal
Southern California Mountains,Fire: Low Severity,Fire,2007,2007,31300,Iteration and Timestep,15650,Normal
Southern California Mountains,Fire: Low Severity,Fire,2008,2008,4100,Iteration and Timestep,2050,Normal
Southern California Mountains,Fire: Low Severity,Fire,2009,2009,33000,Iteration and Timestep,16500,Normal
Southern California Mountains,Fire: Low Severity,Fire,2010,2010,1500,Iteration and Timestep,750,Normal
Southern California Mountains,Fire: Low Severity,Fire,2011,2011,2400,Iteration and Timestep,1200,Normal
Southern California Mountains,Fire: Low Severity,Fire,2012,2012,3600,Iteration and Timestep,1800,Normal
Southern California Mountains,Fire: Low Severity,Fire,2013,2013,10500,Iteration and Timestep,5250,Normal
Southern California Mountains,Fire: Low Severity,Fire,2014,2014,800,Iteration and Timestep,400,Normal
Southern California Mountains,Fire: Low Severity,Fire,2015,2015,9200,Iteration and Timestep,4600,Normal
Southern California Mountains,Fire: Low Severity,Fire,2016,2016,17500,Iteration and Timestep,8750,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,1999,1999,10100,Iteration and Timestep,5050,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2000,2000,600,Iteration and Timestep,300,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2001,2001,15200,Iteration and Timestep,7600,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2002,2002,1300,Iteration and Timestep,650,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2003,2003,4900,Iteration and Timestep,2450,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2004,2004,2300,Iteration and Timestep,1150,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2005,2005,3800,Iteration and Timestep,1900,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2006,2006,6400,Iteration and Timestep,3200,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2007,2007,1300,Iteration and Timestep,650,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2008,2008,2300,Iteration and Timestep,1150,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2009,2009,3900,Iteration and Timestep,1950,Normal
