StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2016,2016,39100,Iteration and Timestep,19550
Central Basin and Range,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central Basin and Range,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central Basin and Range,Insect: Medium Severity,Insect,2000,2000,0,Iteration and Timestep,0
Central Basin and Range,Insect: Medium Severity,Insect,2001,2001,100,Iteration and Timestep,50
Central Basin and Range,Insect: Medium Severity,Insect,2002,2002,100,Iteration and Timestep,50
Central Basin and Range,Insect: Medium Severity,Insect,2003,2003,25600,Iteration and Timestep,12800
Central Basin and Range,Insect: Medium Severity,Insect,2004,2004,9200,Iteration and Timestep,4600
Central Basin and Range,Insect: Medium Severity,Insect,2005,2005,100,Iteration and Timestep,50
Central Basin and Range,Insect: Medium Severity,Insect,2006,2006,100,Iteration and Timestep,50
Central Basin and Range,Insect: Medium Severity,Insect,2007,2007,0,Iteration and Timestep,0
Central Basin and Range,Insect: Medium Severity,Insect,2008,2008,0,Iteration and Timestep,0
Central Basin and Range,Insect: Medium Severity,Insect,2009,2009,0,Iteration and Timestep,0
Central Basin and Range,Insect: Medium Severity,Insect,2010,2010,0,Iteration and Timestep,0
Central Basin and Range,Insect: Medium Severity,Insect,2011,2011,0,Iteration and Timestep,0
Central Basin and Range,Insect: Medium Severity,Insect,2012,2012,100,Iteration and Timestep,50
Central Basin and Range,Insect: Medium Severity,Insect,2013,2013,100,Iteration and Timestep,50
Central Basin and Range,Insect: Medium Severity,Insect,2014,2014,1100,Iteration and Timestep,550
Central Basin and Range,Insect: Medium Severity,Insect,2015,2015,0,Iteration and Timestep,0
Central Basin and Range,Insect: Medium Severity,Insect,2016,2016,600,Iteration and Timestep,300
Mojave Basin and Range,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2000,2000,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2001,2001,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2002,2002,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2003,2003,8600,Iteration and Timestep,4300
Mojave Basin and Range,Insect: Medium Severity,Insect,2004,2004,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2005,2005,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2006,2006,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2007,2007,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2008,2008,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2009,2009,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2010,2010,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2011,2011,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2012,2012,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2013,2013,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2014,2014,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: Medium Severity,Insect,2015,2015,200,Iteration and Timestep,100
Mojave Basin and Range,Insect: Medium Severity,Insect,2016,2016,0,Iteration and Timestep,0
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,1999,1999,1200,Iteration and Timestep,600
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2000,2000,300,Iteration and Timestep,150
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2001,2001,1200,Iteration and Timestep,600
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2002,2002,10000,Iteration and Timestep,5000
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2003,2003,8200,Iteration and Timestep,4100
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2004,2004,28300,Iteration and Timestep,14150
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2005,2005,21500,Iteration and Timestep,10750
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2006,2006,4000,Iteration and Timestep,2000
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2007,2007,1600,Iteration and Timestep,800
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2008,2008,5000,Iteration and Timestep,2500
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2009,2009,4100,Iteration and Timestep,2050
