StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Sonoran Basin and Range,Fire: Medium Severity,Fire,2006,2006,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,2007,2007,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,2008,2008,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,2009,2009,100,Iteration and Timestep,50
Sonoran Basin and Range,Fire: Medium Severity,Fire,2010,2010,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,2011,2011,900,Iteration and Timestep,450
Sonoran Basin and Range,Fire: Medium Severity,Fire,2012,2012,1200,Iteration and Timestep,600
Sonoran Basin and Range,Fire: Medium Severity,Fire,2013,2013,1400,Iteration and Timestep,700
Sonoran Basin and Range,Fire: Medium Severity,Fire,2014,2014,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,2015,2015,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,2016,2016,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,1999,1999,2800,Iteration and Timestep,1400
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2000,2000,1600,Iteration and Timestep,800
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2001,2001,2400,Iteration and Timestep,1200
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2002,2002,2200,Iteration and Timestep,1100
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2003,2003,47500,Iteration and Timestep,23750
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2004,2004,3600,Iteration and Timestep,1800
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2005,2005,7300,Iteration and Timestep,3650
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2006,2006,8200,Iteration and Timestep,4100
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2007,2007,34200,Iteration and Timestep,17100
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2008,2008,11000,Iteration and Timestep,5500
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2009,2009,1800,Iteration and Timestep,900
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2010,2010,900,Iteration and Timestep,450
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2011,2011,500,Iteration and Timestep,250
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2012,2012,600,Iteration and Timestep,300
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2013,2013,4800,Iteration and Timestep,2400
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2014,2014,5800,Iteration and Timestep,2900
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2015,2015,700,Iteration and Timestep,350
Southern California/Northern Baja Coast,Fire: Medium Severity,Fire,2016,2016,1200,Iteration and Timestep,600
