SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Solano,Harvest: Forest Selection,Forest Harvest,1999,2016,0
Sonoma,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.3103448275862069
Sonoma,Harvest: Forest Selection,Forest Harvest,1999,2016,0.6896551724137931
Stanislaus,Harvest: Forest Clearcut,Forest Harvest,1999,2016,1
Stanislaus,Harvest: Forest Selection,Forest Harvest,1999,2016,0
Sutter,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0
Sutter,Harvest: Forest Selection,Forest Harvest,1999,2016,0
Tehama,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.5263157894736842
Tehama,Harvest: Forest Selection,Forest Harvest,1999,2016,0.47368421052631576
Trinity,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.6611570247933884
Trinity,Harvest: Forest Selection,Forest Harvest,1999,2016,0.3388429752066116
Tulare,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.26618705035971224
Tulare,Harvest: Forest Selection,Forest Harvest,1999,2016,0.7338129496402878
Tuolumne,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.2346938775510204
Tuolumne,Harvest: Forest Selection,Forest Harvest,1999,2016,0.7653061224489797
Ventura,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.5
Ventura,Harvest: Forest Selection,Forest Harvest,1999,2016,0.5
Yolo,Harvest: Forest Clearcut,Forest Harvest,1999,2016,1
Yolo,Harvest: Forest Selection,Forest Harvest,1999,2016,0
Yuba,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.5147058823529411
Yuba,Harvest: Forest Selection,Forest Harvest,1999,2016,0.48529411764705876
