StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2016,2016,600,Iteration and Timestep,300
Northern Basin and Range,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2000,2000,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2002,2002,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2003,2003,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2004,2004,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2005,2005,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2006,2006,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2007,2007,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2008,2008,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2009,2009,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2011,2011,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2012,2012,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2013,2013,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2014,2014,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2015,2015,0,Iteration and Timestep,0
Northern Basin and Range,Insect: High Severity,Insect,2016,2016,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2000,2000,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2002,2002,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2003,2003,100,Iteration and Timestep,50
Sonoran Basin and Range,Insect: High Severity,Insect,2004,2004,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2005,2005,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2006,2006,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2007,2007,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2008,2008,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2009,2009,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2011,2011,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2012,2012,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2013,2013,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2014,2014,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2015,2015,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: High Severity,Insect,2016,2016,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2000,2000,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2002,2002,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2003,2003,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2004,2004,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2005,2005,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2006,2006,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2007,2007,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2008,2008,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2009,2009,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2011,2011,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2012,2012,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2013,2013,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2014,2014,100,Iteration and Timestep,50
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2015,2015,500,Iteration and Timestep,250
Southern California/Northern Baja Coast,Insect: High Severity,Insect,2016,2016,0,Iteration and Timestep,0
