County,year,scenario,ref_annual_change,annual_change,change_mult
Inyo,2010,ssp2,0.1,0.1,1
Inyo,2020,ssp2,0.1,0.1,1
Inyo,2030,ssp2,0.1,0.2,2
Inyo,2040,ssp2,0.1,0.1,1
Inyo,2050,ssp2,0.1,0,0
Inyo,2060,ssp2,0.1,0,0
Inyo,2070,ssp2,0.1,0.1,1
Inyo,2080,ssp2,0.1,0,0
Inyo,2090,ssp2,0.1,0.1,1
Inyo,2100,ssp2,0.1,0.1,1
Inyo,2010,ssp5,0.1,0.1,1
Inyo,2020,ssp5,0.1,0.4,4
Inyo,2030,ssp5,0.1,0.1,1
Inyo,2040,ssp5,0.1,0.3,2.9999999999999996
Inyo,2050,ssp5,0.1,0.1,1
Inyo,2060,ssp5,0.1,0.3,2.9999999999999996
Inyo,2070,ssp5,0.1,0.8,8
Inyo,2080,ssp5,0.1,0.4,4
Inyo,2090,ssp5,0.1,0.2,2
Inyo,2100,ssp5,0.1,0.8,8
Kern,2010,ssp2,7.5,7.5,1
Kern,2020,ssp2,7.5,7.3,0.9733333333333333
Kern,2030,ssp2,7.5,8.7,1.16
Kern,2040,ssp2,7.5,8.2,1.0933333333333333
Kern,2050,ssp2,7.5,6.4,0.8533333333333334
Kern,2060,ssp2,7.5,7,0.9333333333333333
Kern,2070,ssp2,7.5,6.2,0.8266666666666667
Kern,2080,ssp2,7.5,6.5,0.8666666666666667
Kern,2090,ssp2,7.5,4.2,0.56
Kern,2100,ssp2,7.5,3.5,0.4666666666666667
Kern,2010,ssp5,7.5,7.5,1
Kern,2020,ssp5,7.5,8.5,1.1333333333333333
Kern,2030,ssp5,7.5,13.1,1.7466666666666666
Kern,2040,ssp5,7.5,13.7,1.8266666666666667
Kern,2050,ssp5,7.5,14.3,1.9066666666666667
Kern,2060,ssp5,7.5,16.1,2.146666666666667
Kern,2070,ssp5,7.5,12.2,1.6266666666666665
Kern,2080,ssp5,7.5,15.2,2.0266666666666664
Kern,2090,ssp5,7.5,12.4,1.6533333333333333
Kern,2100,ssp5,7.5,10.4,1.3866666666666667
Kings,2010,ssp2,0.8,0.8,1
Kings,2020,ssp2,0.8,5,6.25
Kings,2030,ssp2,0.8,3.9,4.875
Kings,2040,ssp2,0.8,4.7,5.875
Kings,2050,ssp2,0.8,3.3,4.124999999999999
Kings,2060,ssp2,0.8,3.9,4.875
Kings,2070,ssp2,0.8,2.2,2.75
Kings,2080,ssp2,0.8,1.5,1.875
Kings,2090,ssp2,0.8,2,2.5
Kings,2100,ssp2,0.8,1.5,1.875
Kings,2010,ssp5,0.8,0.8,1
Kings,2020,ssp5,0.8,1.2,1.4999999999999998
Kings,2030,ssp5,0.8,1.9,2.3749999999999996
Kings,2040,ssp5,0.8,2.6,3.25
Kings,2050,ssp5,0.8,2.5,3.125
Kings,2060,ssp5,0.8,2,2.5
Kings,2070,ssp5,0.8,2.3,2.8749999999999996
Kings,2080,ssp5,0.8,2.3,2.8749999999999996
Kings,2090,ssp5,0.8,1.7,2.125
Kings,2100,ssp5,0.8,2.3,2.8749999999999996
Lake,2010,ssp2,1.9,1.9,1
Lake,2020,ssp2,1.9,0,0
Lake,2030,ssp2,1.9,0,0
Lake,2040,ssp2,1.9,0,0
Lake,2050,ssp2,1.9,0,0
Lake,2060,ssp2,1.9,0,0
Lake,2070,ssp2,1.9,0,0
Lake,2080,ssp2,1.9,0,0
Lake,2090,ssp2,1.9,0,0
Lake,2100,ssp2,1.9,0,0
Lake,2010,ssp5,1.9,1.9,1
Lake,2020,ssp5,1.9,0.5,0.2631578947368421
Lake,2030,ssp5,1.9,2,1.0526315789473684
Lake,2040,ssp5,1.9,1.3,0.6842105263157895
Lake,2050,ssp5,1.9,1.2,0.631578947368421
Lake,2060,ssp5,1.9,1.9,1
Lake,2070,ssp5,1.9,3.2,1.6842105263157896
Lake,2080,ssp5,1.9,2.3,1.2105263157894737
Lake,2090,ssp5,1.9,2.6,1.368421052631579
Lake,2100,ssp5,1.9,2.7,1.4210526315789476
Lassen,2010,ssp2,0.4,0.4,1
Lassen,2020,ssp2,0.4,0,0
Lassen,2030,ssp2,0.4,0,0
Lassen,2040,ssp2,0.4,0,0
Lassen,2050,ssp2,0.4,0,0
Lassen,2060,ssp2,0.4,0,0
Lassen,2070,ssp2,0.4,0,0
Lassen,2080,ssp2,0.4,0,0
Lassen,2090,ssp2,0.4,0,0
Lassen,2100,ssp2,0.4,0,0
Lassen,2010,ssp5,0.4,0.4,1
Lassen,2020,ssp5,0.4,0.2,0.5
Lassen,2030,ssp5,0.4,0.3,0.7499999999999999
Lassen,2040,ssp5,0.4,0.2,0.5
Lassen,2050,ssp5,0.4,0.2,0.5
Lassen,2060,ssp5,0.4,0.3,0.7499999999999999
Lassen,2070,ssp5,0.4,0.3,0.7499999999999999
Lassen,2080,ssp5,0.4,0.3,0.7499999999999999
Lassen,2090,ssp5,0.4,1,2.5
Lassen,2100,ssp5,0.4,0.6,1.4999999999999998
Los Angeles,2010,ssp2,19.1,19.1,1
Los Angeles,2020,ssp2,19.1,30.3,1.5863874345549738
Los Angeles,2030,ssp2,19.1,36.4,1.9057591623036647
Los Angeles,2040,ssp2,19.1,33.4,1.7486910994764395
Los Angeles,2050,ssp2,19.1,31.1,1.6282722513089005
Los Angeles,2060,ssp2,19.1,35.4,1.8534031413612564
Los Angeles,2070,ssp2,19.1,30.7,1.607329842931937
Los Angeles,2080,ssp2,19.1,20.9,1.0942408376963348
Los Angeles,2090,ssp2,19.1,14.8,0.7748691099476439
Los Angeles,2100,ssp2,19.1,5.2,0.27225130890052357
Los Angeles,2010,ssp5,19.1,19.1,1
Los Angeles,2020,ssp5,19.1,41.5,2.1727748691099475
Los Angeles,2030,ssp5,19.1,60.5,3.1675392670157065
Los Angeles,2040,ssp5,19.1,59.1,3.094240837696335
Los Angeles,2050,ssp5,19.1,73.5,3.8481675392670156
Los Angeles,2060,ssp5,19.1,44.3,2.319371727748691
Los Angeles,2070,ssp5,19.1,12.5,0.6544502617801047
Los Angeles,2080,ssp5,19.1,0.5,0.026178010471204185
Los Angeles,2090,ssp5,19.1,0,0
Los Angeles,2100,ssp5,19.1,0,0
Madera,2010,ssp2,1.7,1.7,1
Madera,2020,ssp2,1.7,5.9,3.4705882352941178
Madera,2030,ssp2,1.7,5.7,3.3529411764705883
Madera,2040,ssp2,1.7,4.1,2.411764705882353
Madera,2050,ssp2,1.7,4.5,2.6470588235294117
Madera,2060,ssp2,1.7,3,1.7647058823529411
Madera,2070,ssp2,1.7,2.7,1.5882352941176472
Madera,2080,ssp2,1.7,2.8,1.6470588235294117
Madera,2090,ssp2,1.7,1.9,1.1176470588235294
Madera,2100,ssp2,1.7,0.7,0.4117647058823529
Madera,2010,ssp5,1.7,1.7,1
Madera,2020,ssp5,1.7,2.1,1.2352941176470589
Madera,2030,ssp5,1.7,2.2,1.2941176470588236
Madera,2040,ssp5,1.7,2.7,1.5882352941176472
Madera,2050,ssp5,1.7,3.2,1.8823529411764708
Madera,2060,ssp5,1.7,4,2.3529411764705883
Madera,2070,ssp5,1.7,3.2,1.8823529411764708
Madera,2080,ssp5,1.7,3.6,2.1176470588235294
Madera,2090,ssp5,1.7,3.2,1.8823529411764708
Madera,2100,ssp5,1.7,2.1,1.2352941176470589
Marin,2010,ssp2,1.9,1.9,1
Marin,2020,ssp2,1.9,0.7,0.3684210526315789
Marin,2030,ssp2,1.9,1.1,0.5789473684210527
Marin,2040,ssp2,1.9,1.3,0.6842105263157895
Marin,2050,ssp2,1.9,1.1,0.5789473684210527
Marin,2060,ssp2,1.9,0.9,0.4736842105263158
